Deity,Bhajan,Meaning
Ganesha,"Gaja Vadana Gananatha Gaja Vadana Deena Naathha 
Siddhi Daatha Shiva Thanaya 
Siddhi Pradayaka Gajanana 
Parvathi Nandana Bhava Bhaya Bhanjana 
Yuga Yuga Vanditha Jaya Shree Ganesha","Elephant-faced Ganesh, Lord of the Ganas and protector of the helpless.
Son of Shiva, giver of liberation, destroyer of worldly fears. Glory to Ganesh who is revered through the ages."
Ganesha,"Gaja Vadana Gananatha Naatha 
Gauri Vara Thanaya Guna Laya 
Gaja Vadana Gananatha Naatha 
Vidya Dhaayaka Buddhi Pradayaka 
Siddhi Vinayaka Hey Subha Daayaka","O Elephant-faced Lord! Lord of Demi-Gods and beloved Son of
Mother Gauri; Thou art extremely merciful. You grant auspiciousness and gifts."
Ganesha,"Gaja Vadana Gananatha Vinayaka 
Mahadeva Sudha Mangala Dhaayaka (Gaja Vadana) 
Veda Vidhyadhara Vighna Vinashaka 
Dayaa Sindhu Hey Dhuritha Nivaaraka 
Sai Gajanana Thribuvana Dhaaraka","Oh elephant faced Gajanana (Ganesha), the chieftain of the ganas;
You are the son of Mahadeva (Shiva), the bestower of auspiciousness; 
You are the One who blesses the study of Vedas, 
the destroyer of obstacles; Oh Lord, the merciful One, the One who 
dispels misery; You are Lord Sai Gajaaanana (Sai in the form of Gajanana"
Ganesha,"Gaja Vadana Shree Gananatha 
Ambika Thanaya Paahi Prabhu ..(Gaja Vadana..) 
Siddhi Vinayaka Kaivalya Daatha 
Paashaankusha Dhara Paahi Prabhu 
Namaami Nithyam Smaraami Nithyam 
Deena Sharanya Paahi Prabhu","O Ganesha with an elephant face, son of Parvathi, please
bestow Your Grace on us. You are the one to liberate us from the 
endless cycle of births and deaths. You have been guiding us by 
using Your lasso and prod. I shall always pray to You. I shall 
ceaselessly chant Your name in my mind. You have always protected 
the meek and the humble. Please guide and protect me."
Ganesha,"Gajanana Hey Gajanana 
Gauri Thanayaa Gajanana 
Hey Shivanandana Jaya Jagavandana 
Vidyaa Buddhi Pradayaka 
Parama Niranjana Mooshikavaahana 
Parthipureeshwara Gajanana","Oh Gajanana (Ganesha), son of Gauri (Parvathi);
Oh Son of Shiva, Victory to the One who is revered by the whole world; 
You are the one who bestows knowledge and intelligence; Hey Gajanana, You are the Lord of Puttaparthi"
Ganesha,"Gajanana Hey Shubhaanana 
Gauri Manohara Priya Nandana 
Pashupathi Thanaya Gajanana 
Parama Niranjana Subhaanana","Hey Gajanana (Ganesha), the auspicious One; The beautiful and Beloved son of Gauri (Parvathi);
Oh Gajanana (Ganesha) son of Pashupathi (Shiva) Thou art supremely faultless and the auspicious One"
Ganesha,"Gajanana Hey Shubhaanana 
Parama Niranjana Gaja Vadana 
Vakra Thunda Dhara Vighna Vinaasha 
Pranava Swaroopa Parthipureesha 
Siddhi Vinayaka Sai Gajanana 
Parama Niranjana Gaja Vadana","Pray and worship Lord Sai Gajanana, destroyer of all obstacles,
bestower of success and life force of all beings)."
Ganesha,"Gananatha Gaja Vadana Gananatha Deenaharana 
Siddhi Daatha Shiva Thanaya 
Buddhi Pradayaka Gajanana 
Parvathi Nandana Jaya Jagavandana 
Yuga Yuga Vandana Jai Jagadeesha","Oh Lord of Ganas, the elephant faced One, the One who dispels misery!
You bestow boons, Oh son of Shiva! You bestow intelligence, Lord Ganesha! 
Victory to the One who is revered by the whole world, the son of Parvathi! 
You are revered throughout the ages (Yugas); Hail Thee, God of the world"
Ganesha,"Gananatha Gananatha 
Mooshika Vaahana Jaya Gananatha 
Sharanam Sharanam Gajanana 
Sidhi Vinayaka Gananatha 
Mukthi Pradayaka Gananatha 
Jagatodhaara Jaya Gananatha 
Sharanam Sharanam Gajanana","I seek refuge in You, Ganesha. You are the God with super
natural powers. You are the Lord who gives liberation to people. 
You are the One who uplifts the whole world. Victory to You, Lord Ganesha."
Ganesha,"Ganapathi Deva Namo Namo 
Siddhi Vinayaka Gaja Vadana ...(Ganapathi) 
Bhoota Ganaadhipa Bhava Bhaya Naasha 
Bimbaadhara Suta Gaja Vadana 
Aadi Poojya Deva Gauri Ganesha 
Ambika Thanaya Ganeshwara","Salutations to Thee, Lord Ganesh. Thou all-powerful One, master
of all beings, savior of mankind from endless births and deaths, 
son of the Shiva, O primeval God, Our salutations to Thee."
Ganesha,"Ganapathi Om Jaya Ganapathi Om 
Gajamukha Varada Ganapathi Om 
Mooshika Vaahana Gajanana 
Modakahastha Gajanana 
Paramaniranjana Gajanana 
Paada Namaste Gajanana","Victory to Thee, Oh Ganesha! The elephant faced One, the bestower of boons;
Gajaana (Ganesha), the One who has the mouse as His vehicle, 
Ganesha, the One has a modhaka (a sweet preparation) in His hand; Oh Gajanana - I prostrate at Thy Lotus feet"
Ganesha,"Ganesha Sharanam Parama Paavanam Sathya Sainam Gajananam 
Nithya Smaranam Parama Paavanam Sathya Sainam Gajananam 
Sadguru Sharanam Parama Paavanam Sathya Sainam Gajananam 
Bhava Bhaya Haranam Parama Paavanam Sathya Sainam Gajananam","To Ganesh, bow in reverence, bow in absolute purity, to the
name of Sai, to the elephant-faced Ganesh; Constantly remember 
the purifying name of Sai, remember the elephant-faced Lord 
Ganesh; The feet of the guru are purifying, as is the name of 
Sai and Ganesh, the elephant-faced Lord; All fears are destroyed 
by the supremely pure name of Sai and by the elephant-faced Lord Ganesh)."
Ganesha,"Ganesha Sharanam Sharanam Ganesha 
Sayeesha Sharanam Sharanam Sayeesha (4x)","Surrender to Lord Ganesha, Surrender to Lord Sai"
Ganesha,"Gauri Ganesh Uma Ganesh 
Parvathi Nandana Shree Ganesh 
Sharanam Ganesh Sharanam Ganesh 
Shiva Nandana Ganapathi Ganesh","Chant the name of Lord Ganesh, beloved Prince of Mother Gauri,
I surrender to Thee, Lord of all Demi-Gods,
beloved Prince of Lord Shiva and Mother Guru."
Ganesha,"Gauri Nandana Baala Gajanana 
Gaja Vadana Gananatha Gajanana 
Gauri Nandana Baala Gajanana 
Mahaganapathe Sai Gajanana 
Gajanana Sai Gajanana","Worship the Lord of Lords, Lord Sai Gajanana,
Lord of Demi-Gods and beloved of Gauri "
Ganesha,"Gauri Nandana Gajanana 
Girija Nandana Niranjana 
(Hey) Gauri Nandana Gajanana 
Parvathi Nandana Shubaanana 
Paahi Prabho Maam Paahi Prasanna","O Elephant-faced Lord! O Darling Prince of Mother Gauri! Thou
art pure, spotless and pleasing to look at. 
Kindly protect and be pleased with us."
Ganesha,"Gauri Nandana Sai Gajanana 
Gaja Vadana Gananatha Gajanana 
Gauri Nandana Sai Gajanana 
Maha Ganapathey Sai Gajanana 
Gajanana Sai Gajanana","Worship Lord of Lords, Lord Sai Gajanana, Lord of the
Ganas(demi-gods) and Beloved son of Gauri"
Ganesha,"Hey Gananatha Gajanana 
Hey Ramba Gajanana 
Hey Gananatha Gajanana 
Gauri Nandana Gajanana Gajanana Hey Gajanana 
Siddhi Vinayaka Gajanana","O, elephant faced Lord of the Ganas (demi-gods); O Vinayaka, the son of Parvati
The Lord who bestows success, We chant Thy Name"
Ganesha,"Hey Shiva Nandana Bhava Bhaya Bhanjana 
Vighna Vinashaka Gajanana 
Gaja Vadana Gana Naatha 
Vishwa Vandya Shiva Shambhu Kumaara 
Parvathi Tanaya Ganeshwara 
Gana Naatha Shubha Daatha Pahi Prabhu","O Ganesha, son of Shiva! You have always granted Your devotees
freedom from the eternal cycle of births and deaths. You have 
constantly removed obstacles from their path. O Lord of demigods, 
the whole universe adores You. Bestow Your Grace on us O auspicious One!"
Ganesha,"Hey Shiva Nandana Bhava Bhaya Bhanjana 
Girija Nandana 
Gaana Vinodana Danava Mardana (2X) 
Paalitha Deena Vana Gajanana 
[2nd time:] 
Girija Nandana","This bhajan is dedicated to Ganesha: Son of Shiva and Parvati ;
(Girija is a name for Parvati meaning ""born of a mountain"") 
Destroyer of the fear of the sea of change; One Who is fond of music; Destroyer of demonic qualities; 
One Who fosters the meek"
Ganesha,"Jai Ganaraaya Shree Ganaraaya Jai Ganaraaya Shree Ganaraaya 
Mangala Moorthi Mooriya (2x) 
Siddhi Vinayaka Mangala Daatha (2x) 
Ashta Vinaaayaka Mangala Dhayaka Mangala Moorthi Mooriya (2x) 
Sindhura Vadana Pankaja Ramana (2x) 
Sindhura Vadana Pankaja Ramana Ganapathi Baba Mooriya (2x) 
Mangala Moorthi Mooriya (2x)","Victory to Lord Ganesh, the Lord who brings auspiciousness.
Victory to Vinayaka (Lord Ganesh) who gives us all that we want. 
Victory to Lord Ganapathi who is adorned with Kumkum"
Ganesha,"Jai Jai Jai Gana Naayaka Jai Jai Vighna Vinashaka 
Jai Shubha Mangala Daayaka Vidhya Buddhi Pradayaka 
Gaja Vadanaa Gauri Nandana (2x) 
Gangaadhara Shiva Shambho Nandana","Glory to the leader of the Ganas, to the destroyer of obstacles;
To the bestower of good fortune and one who grants intelligence; 
To Gauri's son Ganesh with the elephant face, son of Shiva who bears the Ganges river"
Ganesha,"Jai Jai Jai Hey Gajanana 
Gajanana Sai Gaja Vadanaa 
Parvathi Nandana Gajanana 
Pashupathi Tanaya Gajanana 
Aadi Poojya Deva Gajanana","Victory to Thee, Hey Gajanana (elephant faced One - Lord Ganesh)
Oh son of Parvathi, son of Pashupathi (Shiva), the ancient and auspicious One, victory to Thee"
Ganesha,"Jai Jai Jai Jai Ganapathi Deva 
Gajanana, Gajanana 
Gajanana Hey, Ganapathi Deva 
Maatha Parvathi Pitha Mahadeva 
Gajanana Hey Ganapathi Deva","Glory to the Lord of the Ganas; Ganesha who has the head of an
elephant; His mother is Parvati, his father, Shiva."
Ganesha,"Jai Shree Ganesh Vighna Naasha Gajanana 
Vidyaa Buddhi Sarva Siddhi Puranjana 
Jai Shree Ganesh Vighna Naasha Gajanana 
Jai Hey Rambha Hey Jagadamba Nandana 
Eka Danta Dayavanta Shubhaanana 
Mangala Daayaka Hey Vinayaka Vandana","Victory to Lord Ganesh, destroyer of obstacles and grantor of good
intelligence and success. Victory to beloved son of Mother of 
Universe, Mother Rambha. Worship Elephant-Faced Lord Vinayaka, who has one tusk."
Ganesha,"Jaya Deva Jaya Deva Jaya Jaya Ganapathi Deva 
Vidya Daayaka Buddhi Pradayaka 
Vriddhi Siddhi Karo Deva 
Girijaanandana Bala Gajanana 
Jai Lambodara Mooshika Vaahana","Glory to Lord Ganesha, The Leader of the ""Ganas"" (Ganas: volunteers of Lord Shiva)
The Giver of Knowledge and Promoter of intellect, Also the Giver of prosperity and achievements 
Victory to the Lord with the long nose, Whose vehicle is the mouse, The Son of Mother Gauri"
Ganesha,"Jaya Ganesha Deva Jaya Ganesha Puttaparthi Vaasa Sai Ganesha 
Jaya Ganesha Deva Jaya Ganesha, Puttaparthi Vaasa Sai Ganesha 
Parvathi Nandana Jai Shree Ganesha, Shirdi Pureesha Sai Ganesha","Victory, all Glory to Ganesha, remover of obstacles, dwelling
in Puttaparthi. He also dwelt in Shirdi in his past incarnation."
Ganesha,"Jaya Ho Jaya Ho Mooshika Vaahana 
Hey Shiva Nandana Prathama Vandanaa 
Parvathi Tanaya Siddhi Vinayaka 
Charanam Sharanam Vighna Haranam (Hey Shiva...)","Victory to Lord Vinayaka, beloved son of Lord Shiva and Parvati.
He is always appeased and worshipped first. O Grantor of Success! 
I surrender at Thy Lotus Feet. Thou art the destroyer of all obstacles"
Ganesha,"Jaya Jaya Girija Baala Gajanana 
Jaya Shivashankara Parvathi Nandana 
Vighna Vinashaka Vijaya Gajanana 
Sharavana Sevitha Sumukha Gajanana 
Tava Pada Sharanam Sharanam Gajanana","Victory to Thee, Hey boy Gajanana (Ganesha). Victory to Thee,
son of Shiva and Parvathi. Thou art the remover of all obstacles, 
the bestower of victory. You are worshipped by all; You have 
a pleasant face. We seek refuge at Thy Feet, Oh Gajanana"
Ganesha,"Jaya Jaya Jaya Hey Gajanana 
Gajanana Hey Gajavadana 
Jaya Jaya Jaya Hey Gajanana 
Parvathi Nandana Gajanana 
Pashupathi Tanayaa Gajanana 
Aadi Poojya Deva Gajanana","Victory to Gajanana, the elephnat faced God,
whose Mother is Parvati and father is Lord Shiva,
the Prince of all creation and creatures, The One we worship first"
Ganesha,"Jaya Jaya Jaya Jaya Poojya Gajanana 
Jaya Hey Shambho Nandana..(Jaya) 
Vighna Vinashaka Buddhi Pradaatha 
Sura Nara Vanditha Hey Shubha Daata 
Modaka Priya Prabhu Baala Gajanana 
Namo Namo Hey Jaga Vandana (2)","Victory to Thee revered Ganesha! O son of Lord Shiva, dispeller
of impediments, bestower of intellect, revered by mortals and 
immortals alike, O good and auspicious Ganesh, 
O world acclaimed One, our salutations to Thee."
Ganesha,"Jaya Lambodhara Pahimaam 
Jagadamba Suta Rakshamam 
Jaya Lambodhara Pahimaam 
Sharanagatha Rakshamam 
Hey Karunanidhe Pahimaam 
Hey Gananatha Samrakshamam 
Nija Bhakthi Mudam Dehinam","Victory to Lord Ganesh. O Beloved Prince of the Mother of Universe (Amba)
I surrender to Thee. Kindly protect me. 
O Compassionate One! Guard and protect me. Grant me devotion"
Ganesha,"Lambodara Gana Naathha Gajanana 
Parvathi Nandana Shubhaanana 
Pashupati Tanayaa Siddhi Vinayaka 
Pranavaakara Shambhoo Nandana 
Parthipureesha Sai Gajanana 
Hey Shiva Nandana Shubhaanana","Victory to the One with a big belly - Lord of Demi-Gods, son
of Parvati, bestower of auspiciousness and success.
You are in the form of the Primeval 'Om'. Thou art the life force 
of all Beings, You darling son of Shiva who resides in Parthi"
Ganesha,"Lambodara Hey Gauri Nandana 
Vighna Vinashaka Gajanana 
Siddhi Vinayaka Hey Dukha Bhanjana 
Asura Vinashaka Shubhanana 
Gauri Manohara Mooshika Vaahana 
Vighna Vinashaka Gajanana","O Darling son of Mother Gauri! Thou art the remover of
obstacles and evil and thereby confer success. Thy vehicle is the mouse. Please remove all calamities, Oh, destroyer of the demons"
Ganesha,"Lambodara Hey Vigneshwara 
Shambho Kumara Siddeeshwara 
Lambodara Hey Vigneshwara 
Ambika Tanaya Omkaareshwara 
Hey Ramba Sai Shirdeeshwara 
Hey Ramba Sai Partheeshwara","Ganesh, remover of obstacles, the big-bellied Lord, who confers success
son of Shiva, son of Ambika, Lord Sai of Shirdi and Parthi."
Ganesha,"Lambodara Jaya Gajanana 
Parvathi Nandana Parama Dayaaghana 
Lambodara Jaya Gajanana 
Bandha Vimochana Bhava Bhaya Bhanjana 
Pranava Swaroopa Hey Shiva Nandana 
Paahi Prabho Maam Paahi Gajanana","Hey Lambodara (pot bellied One), victory to You, hey Gajaaanana!
Hey son of Parvati, the personification of compassion, 
the One who liberates (devotees) from bondage and the cycle 
of birth and death, the One with the Primival form, Son of 
Shiva, please protect me, Lord, please protect Lord Ganesha"
Ganesha,"Lambodara Shiva Gauri Sutha 
Hey Shiva Nandana Bala Gajanana 
Gajanana Shubhanana...(Lambodara) 
Hey Shiva Nandana Bhava Bhaya Bhanjana 
Shambhu Kumara Gajanana (2)","Chant the name of Ganesh, son of Lord Shiva and Parvathi; Ganesh,
whose divine face bestows fortune on us and frees us from the endless cycle of births and deaths."
Ganesha,"Lambodara Shiva Gauri Sutha 
Ganaadhipa Jai Gajanana 
Phala Chandra Jai Gaja Karneshwara 
Vighneswara Maam Pahi Prabhu 
Sayeeshwara Maam Pahi Prabhu","Chant the name of Lord Ganesha, son of Lord Shiva and Mother Gauri. Victory to
Ganesha with elephant ears and moon-like forehead. Remover of obstacles, Lord Sai, protect me."
Ganesha,"Maha Ganapathey Namosthuthey 
Mathanga Mukha Namosthuthey 
Maha Ganapathey Namosthuthey 
Himadrija Sutha Namosthuthey 
Omkareshwara Namosthuthey","I bow to Ganesha, the one with the elephant-face, son of Parvati, Lord of Om."
Ganesha,"Mahaadeva Hey Gajavadana 
Sai Ganesha Gajavadana 
Mangala Roopa Gajavadana 
Parthi Ganesha Gajavadana","O mighty God Ganesha! Oh Sai Who is also Ganesha! Ganesha, the One Who has an auspicious form,
You are the same Parthi Ganesha"
Ganesha,"Mangala Gauri Nandana 
Mangala Charana Mangala Vadana 
Mangala Gauri Nandana 
Sankata Harana Sulabha Prasanna 
Sundara Vadana Sai Gajanana","Hey son of Gauri (Ganesha), You are a sign of auspiciousness!
You are the One with sacred Feet, an auspicious face, the One 
who destroys misery. You are easy to please, the One who has 
the most beautiful face, Oh Sai Ganesha"
Ganesha,"Mangala Moorti Shambho Nandana 
Mangala Daayaka Parvathi Nandana 
Eka Dantha Dhara Vighna Vinashaka 
Eka Prabhu Jagadeka Vinayaka 
Eka Aneka Shree Sai Vinayaka","You are the personification of auspiciousness, O Ganesha, son
of Lord Shiva. You, O son of Parvathi, bring auspiciousness into 
everyone's lives. O single tusked God, destroyer of obstacles You 
are the One who pervades everything. You are Purusha, You are Prakriti. You are everything, O Sai Ganesh!"
Ganesha,"Mathanga Vadana Aananda Sadana 
Maha Deva Shiva Shambho Nandana 
Mathanga Vadana Aananda Sadana 
Maaya Vinashaka Mooshika Vaahana 
Matha Maheshwari Bhavani Nandana 
Maha Ganapathey Mangala Charana (2)","Elephant-faced one, source of bliss, son of Shiva, remover of
illusion who rides the mouse; Son of mother Parvati, Lord of 
Ganas, One who has a mouse as His vehicle, whose feet are auspicious."
Ganesha,"Mathanga Vadana Maam Palaya 
Mauleeshwara Shiva Gauri Nandana (2) 
Mangala Daayaka Siddhi Vinayaka 
Maya Vinashaka Mooshika Vaahana","Protect me, Elephant-faced one, source of bliss, son of Shiva
and Gauri, Giver of auspiciousness and liberation."
Ganesha,"Namami Nithyam Gananatham Smaraami Nithyam Gajavadanam 
Namaami Nithyam Gananatham 
Smaraami Nithyam Gajavadanam","To the Lord of the Divine Forces, Always I bow in reverence.
I am always singing Your glory, God Ganesha"
Ganesha,"Namosthuthe Ganapathi Ganaraaya 
Hey Shivanandana Sai Gajanana 
Sai Gajanana Namosthuthe 
Namosthuthe Namosthuthe 
Hey Shivanandana Hey Gajanana 
Namosthuthe Namosthuthe","Salutations to You Hey Ganesha, Hey son of Shiva, the One with
the elephnat head. Salutations to Thee, Hey Sai Ganesha"
Ganesha,"Parvathi Nandana Gajanana 
Pashupati Nandana Niranjana 
Parvathi Nandana Gajanana 
Paahi Prabho Mam Paahi Prasanna 
Girija Nandana Niranjana 
Girija Nandana Subhaanana","Ganesh, son of Shiva, Parvathi's son, whose face shines with
goodness and auspiciousness, who is pleasing to all, faultlessly pure, protect us, Lord."
Ganesha,"Pashupathi Thanaya Baala Gajanana 
Thuma Ho Vighna Vinaasha, Ganesha 
Thuma Ho Vighna Vinaasha 
Hey Shiva Nandana, Bala Gajanana 
Vidya Buddhi Pradaatha 
Vidya Buddhi Pradaatha 
Mangala Kar Hey, Mangala Kar Hey 
Mangala Kar Hey, Mangala Kar Hey 
Sundara Sai Ganeshs Ganesha 
Sundara Sai Ganesha","Chant the name of darling son of Lord Shiva (Pashupati) - Lord Gajanana
who is destroyer of obstacles. O son of Lord Shiva - Lord Gajanana! 
Kindly protect me and grant me spiritual knowledge and bestow auspiciousness. 
Chant the name of charming Lord Sai Gajanana"
Ganesha,"Prasanna Ho Sathya Sai Ganesha 
Prathama Poojita Vighna Vinaasha 
Paashaankusha Dhara Parama Pavitra 
Mooshika Vaahana Gajanana ... Prasanna Ho 
Lambodara Hey Shambhu Kumaara 
Ambika Thanaya Gajanana","Please derive joy from our worship, O Sai Ganesh. You are the One who is always worshipped first, O destroyer of obstacles."
Ganesha,"Prathama Poojita Vighna Vinashaka 
Mooshika Vaahana Gaja Vadana 
Parama Pavitra Paavana Naama 
Paashaankusha Dhara Gaja Vadana..(Prathama) 
Vighna Vinashaka Budhi Pradaata 
Sura Nara Vandita Gaja Vadana 
Vishweshwara Suta Baala Gajanana 
Mangala Karo Prabhu Gauri Ganesha","O primeval God, O auspicious One, O divine Name, dispeller of
obstacles, Thou that giveth us enlightenment, Thou that art 
worshipped by men and gods alike, make our lives auspicious and take us under Thy care O Lord Ganesh."
Ganesha,"Prathama Bhajorey Ganapathi Sai 
Jai Jai Jai Jai Sai 
Buddhi Pradayaka Hey Gananaayaka 
Ganapathi Sai Hey Sukha Dayi 
Jai Jai Jai Jai Sai","First sing the glories of Lord Sai Ganapathi, the Lord of demi-gods. Salutations to Lord Sai
Lord Ganesh is the promoter of the intellect. Lord Ganesh is also the promoter of happiness"
Ganesha,"Prathama Sharana Gana Naayaka Om 
Vighna Vinashaka Siddhi Vinayaka 
Vidya Daayaka Buddhi Pradayaka 
Mooshika Vahan Sai Gajanana","First pay obeisance to Lord of Demi-Gods, Lord Vinayaka, who
destroys obstacles and assures success; who grants (spiritual) 
knowledge and intelligence. Lord Sai Gajanana has mouse as a vehicle."
Ganesha,"Prathama Smarana Shree Ganesha 
Prathama Namana Sai Ganesha ...(Prathama) 
Vighna Harana Siddhi Kaarana 
Dhoomra Varna Shree Ganesha 
Karunaabarana Poojya Charana 
Vara Pradata Sai Ganesha","Offer your first prayer to Lord Ganesh. Turn your first
reverential thoughts to Shree Sai Baba. Bow to the all-powerful 
Ganesha. Worship the Lotus feet of Sai whose principal ornament 
is compassion and who confers boons on His devotees lavishly."
Ganesha,"Prathama Vandana Gauri Nandana 
Hey Shiva Nandana Sai Gajanana 
Prathama Vandana Gauri Nandana 
Eka Dantha Guna Vanta Vinayaka 
Vighna Harana Shubha Mangala Charana 
Pranava Swaroopa Paahi Gajanana","First pay obeisance to Lord Sai Gajanana, the beloved Prince of Lord Shiva and Mother Gauri. Oh Vinayaka, You are adorned with
a single tusk, You are the embodiment of goodness. 
O Lord Sai Gajanana! Thou art the Remover of obstacles, Bestower of auspiciousness and Life Force of all beings"
Ganesha,"Sai Deva Sree Ganesha 
Vandhey Vighna Vinaasha 
Parvathi Nandana Parthipureesha 
Hey Shiva Nandana Jaya Sayeesa","Hey Sai, Yu are Lord Ganesha. I prostrate to Thee, Hey destroyer
of obstacles. Hey son of Parvathi, Hey Lord of Parthi, Hey son of Shiva, victory to Thee"
Ganesha,"Sai Gajanana Deenaavana 
Sindhoora Vadana Shrithajana Paalana 
Sai Gajanana Deenaavana 
Ambika Thanaya Amaraadheeshwar 
Aganitha Guna Gana Aananda Daayaka","Lord Sai Gajanana! Son of Parvathi! Merciful protector and sustainer, full of virtues and granter of immense happiness."
Ganesha,"Sai Ganesha Jaya Ganesha 
Jaya Guru Deva Sai Mahesha 
Parvathi Shankara Hey Paramesha 
Rama Krishna Hari Govinda Vitthala 
Subramanyam Subrahmanyam Shanmukhanantha Subramanyam","Glory to Ganesh, revered Guru, Lord Sai, Shiva bestower of
good, supreme Lord of Parvathi, Rama, Krishna, Subrahmanyam, the 
six-faced guide of the spiritual aspirant"
Ganesha,"Shambho Kumaara Gajanana 
Shankari Thanayaa Gajanana 
Ambika Thanayaa Gajanana 
Ambuja Lochana Gajanana","Elephant-faced Lord Ganesha, son of Shiva and Parvati, whose eyes are like lotuses."
Ganesha,"Shambho Kumaara Gauri Thanaya 
Gajanana Sadaya Jai Jai 
Varada Ganesha Duritha Vinaasha 
Pranavaa Kaara Naathha Sadaya 
Gajanana Sadaya Jai Jai","Victory to merciful darling son of Lord Shambhoo and Gauri, Lord
Gajanana. Thy form is Om and thou art the remover of obstacles and grantor of boons. "
Ganesha,"Shankara Sumana Bhavani Nandana 
Vighna Vinashaka Paahi Ganesha 
Sura Muni Vanditha Sumukha Gajanana 
Lambodhara Hey Paahi Ganesha 
Gangaadhara Sutha Gauri Thanaya 
Mangala Karo Prabhu Sai Ganesh","Son of that great god, Shiva and most kindly goddess Parvathi, O
Ganesh, may you remove every impediment from our life. O divine 
spirit, worshipped alike by men and gods, bring auspiciousness, O Lord."
