Title,Deity,Level,Tempo,Language,Raga
"Beautiful God, Hallelujah (3)","sai, sarva dharma",simple,medium fast,english,major (shankarabharanam / bilawal)
Beda Paar Karo Merey Sai,sarva dharma,intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Bhagawan Bhagawan Darshan Do Bhagawan,sarva dharma,intermediate,medium slow,sanskrit / hindi,bageshri
Bhagawan Bhagawan Sai Baba Tero Naam,sarva dharma,,,sanskrit / hindi,mayamalavagowla / bhairav
Bhajorey Manasa Sai Ram,sarva dharma,intermediate,medium fast,sanskrit / hindi,natabhairavi
Bhakthon Ne Hai Aaj Pukara,sarva dharma,intermediate,medium fast,sanskrit / hindi,mayamalavagowla / bhairav
Bhava Sagar Se Paar Utharo,sarva dharma,advanced,medium,sanskrit / hindi,hamir kalyani / kedar
Bhuvana Bandhava Sai Bhagawan,sarva dharma,advanced,medium fast,sanskrit / hindi,hamsanandi / sohini
Bolo Jai Sai Ram Bolo Jai Sai Ram,sarva dharma,intermediate,medium fast,sanskrit / hindi,shuddha dhanyasi
Buddha Mahavir Yesu Sai,"sarva dharma, guru",intermediate,slow,sanskrit / hindi,shankarabharanam / bilawal
"Chant the name of God, Sing the Glory of the Lord",sarva dharma,simple,medium fast,english,harmonic minor
Chant The Name of the Lord,sarva dharma,intermediate,medium,english,major (shankarabharanam / bilawal)
Devotees have called on Baba,sarva dharma,intermediate,medium fast,english,major and minor (mayamalavagowla / bhairav)
Divine Mother Soham You And I Are One,"devi, sai, sarva dharma",simple,medium fast,english,minor (natabhairavi)
"El Señor es mi pastor, y nada me faltará.","sai, sarva dharma",intermediate,medium fast,spanish,major (shankarabharanam / bilawal)
"Eres mi Madre y Padre, eres mi Dios Sai Baba",sarva dharma,simple,fast,spanish,minor (natabhairavi)
Eshwar Allah Ek Tum Hi Ho,sarva dharma,advanced,slow,sanskrit / hindi,"~ sarasangi / nat bhairav, mohanam / bhoop"
Eshwar Allah Terey Naam Sai Terey Naam,sarva dharma,intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Eshwara Allah Tero Naam Eshwari Nandana Sai Ram,sarva dharma,intermediate,medium,sanskrit / hindi,shankarabharanam / bilawal
"Every minute, every day, every night",sarva dharma,simple,medium fast,english,minor (natabhairavi)
"God is our best friend, God is our best kin",sarva dharma,intermediate,slow,english,major and minor (chakravakam / ahir bhairav)
Govinda Bolo Gopala Bolo,sarva dharma,intermediate,slow,sanskrit / hindi,chakravakam / ahir bhairav
Guru Nanak Ji Ki Jai Jai Kaar,sarva dharma,simple,fast,sanskrit / hindi,~ shankarabharanam / bilawal
Guru no Miashi ni Sasagemasu,sarva dharma,simple,medium fast,japanese,~ major (shankarabharanam / bilawal)
Harey Murarey Sai Ram Harey Murarey Ram,sarva dharma,simple,medium,sanskrit / hindi,~ mayamalavagowla / bhairav
Hari Hari Sri Narayana Jai Sai Ram,sarva dharma,,,sanskrit / hindi,light music tune
I Got Something To Tell You,"sai, sarva dharma",simple,medium slow,english,major (shankarabharanam / bilawal)
Hey Nirakari Allah Hey Avatari Prabhu Ram,sarva dharma,intermediate,medium fast,sanskrit / hindi,~ darbari
"Hine ma tov u’ma-nayim, Shevet ach-im gam ya-chad (low 2x)","jehovah, sarva dharma",intermediate,"medium, slow",hebrew,minor (natabhairavi)
I am a wave in the ocean ,sarva dharma,simple,medium,english,major (shankarabharanam / bilawal)
"I am the Light, the Light is within me",sarva dharma,intermediate,medium slow,english,minor (~ natabhairavi)
I Will Love You More And More Each Day,"sai, sarva dharma",simple,medium,english,major (shankarabharanam / bilawal)
In the Name of the Lord we sing praises,sarva dharma,intermediate,medium,english,minor (natabhairavi)
Inori ni Kotaete Anata wa Korareta,sarva dharma,simple,medium,japanese,minor (natabhairavi)
Jagadeesha Harey Jaya Ho,sarva dharma,intermediate,medium fast,sanskrit / hindi,chandrakauns
Jaya Guru Omkara,"guru, sarva dharma",advanced,slow,sanskrit / hindi,chakravakam / ahir bhairav
Jaya Ho Sai Ram Jaya Ho Sai Ram,sarva dharma,intermediate,medium slow,sanskrit / hindi,"natabhairavi, keeravani"
Jaya Sai Ram Sathya Sai Ram,sarva dharma,simple,medium,sanskrit / hindi,madhyamavati / madhmad sarang
Kagari naki Ai to Hikari wo Warera ni Atae Tamou,sarva dharma,simple,medium fast,japanese,minor (natabhairavi)
Karuna Sagara Prema Swaroopa,sarva dharma,intermediate,medium,sanskrit / hindi,yaman kalyan
Koi Boley Hari Hari Koi Boley Ram Ram,sarva dharma,advanced,medium slow,sanskrit / hindi,~ yaman kalyan
Koi Kahey Tujhe Ram Koi Kahey Tujhe Shyam,sarva dharma,,,sanskrit / hindi,
"Krishna You give me, You give me the vision of God",sarva dharma,intermediate,slow,english,minor (natabhairavi)
Lord Sathya Sai Bhagawan Sathya Sai,"sai, sarva dharma",simple,medium fast,english,major (mohanam / bhoop)
"Love in my heart, love in my home, love in my life, Sai is Love","sai, sarva dharma",simple,medium slow,english,major (shankarabharanam / bilawal)
Mahadeva Maheshwara Sai Narayana,sarva dharma,advanced,medium slow,sanskrit / hindi,~ natabhairavi
Mandir Mey Tum Ram Ho Sai,sarva dharma,intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Master of Light,sarva dharma,simple,medium,english,minor (natabhairavi)
Mata Pitha Guru Bandhu Sakha Hari,"sarva dharma, guru",intermediate,medium,sanskrit / hindi,pahadi
Meherbaan Mera Allah Sai,sarva dharma,intermediate,medium,sanskrit / hindi,pantuvarali / puriya dhanashri
Mohana Mukunda Hari Giridhara Govinda Hari,sarva dharma,,,sanskrit / hindi,sindhu bhairavi / bhairavi
Namo Bhagawathey Vasudevaya,sarva dharma,intermediate,medium fast,sanskrit / hindi,natabhairavi
Namu Amida Butsu Namu Amida,"sarva dharma, buddha",simple,medium fast,japanese,minor (natabhairavi)
Om Tat Sat Sri Narayana Tu,sarva dharma,simple,medium slow,sanskrit / hindi,major (shankarabharanam / bilawal)
Omkara Roopa Sri Sai Natha,sarva dharma,intermediate,medium,sanskrit / hindi,tilak kamod
"One guru, one guru, omnipresent God","guru, sarva dharma",simple,medium fast,english,major (shankarabharanam / bilawal)
Our only God truly thou art,"sai, sarva dharma",simple,medium,english,major (shankarabharanam / bilawal)
Paar Karo Uddhar Karo Prabhu Parthi Puri Bhagawan,sarva dharma,simple,medium slow,sanskrit / hindi,shankarabharanam / bilawal
Partheeshwara Sri Sai Prabho,sarva dharma,advanced,medium slow,sanskrit / hindi,shuddha sarang
Parthi Pureeshwara Sai Allah Maulah Sai,sarva dharma,advanced,medium slow,sanskrit / hindi,"keeravani, gowri manohari / patdeep"
Parthi Vihara Paapa Vidhura,sarva dharma,advanced,medium slow,sanskrit / hindi,vibhas
Poorna Brahma Avatara Sai,sarva dharma,intermediate,slow,sanskrit / hindi,~ gowri manohari / patdeep
Pranam Sweekar Karo Sai Mahadeva,sarva dharma,intermediate,medium,sanskrit / hindi,~ natabhairavi
Pranams to the Mystic Sai Baba,"sai, sarva dharma",intermediate,medium fast,english,minor (natabhairavi)
Pranavakara Parabrahma,sarva dharma,,,sanskrit / hindi,keeravani
Prem Eshwar Hai Eshwar Prem Hai,sarva dharma,advanced,slow,sanskrit / hindi,jog
Rahiman Rahiman Ram Rahim,sarva dharma,intermediate,fast,sanskrit / hindi,pahadi
Rahimana Ram Rahimana Ram,sarva dharma,,,sanskrit / hindi,pilu
Ram Kaho Krishna Kaho Eshwara Allah Sai Kaho,sarva dharma,intermediate,medium fast,sanskrit / hindi,~ mohanam / bhoop
Ram Kaho Sai Ram Kaho,sarva dharma,advanced,medium slow,sanskrit / hindi,~ natabhairavi
Ram Rahim Ho Sai Krishna Buddha Sai,sarva dharma,intermediate,medium fast,sanskrit / hindi,jog
Ram Rahim Ko Bhajanewaale Terey Poojari Baba,sarva dharma,intermediate,medium slow,sanskrit / hindi,pahadi
Rama Bolo Rahim Bolo,sarva dharma,,,sanskrit / hindi,
"Rama Bolo Sita Rama, Shyam Bolo Radhey Sham",sarva dharma,simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Rama Harey Hari Naam Bolo,sarva dharma,advanced,medium fast,sanskrit / hindi,chakravakam / ahir bhairav
Rama Harey Sai Krishna Harey Sarva Dharma Priya Sai Harey,sarva dharma,simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Rama Krishna Hari Sathya Sai Murari,sarva dharma,simple,fast,sanskrit / hindi,sindhu bhairavi / bhairavi
"Rama Krishna precious Lords, spreading joy to the worlds",sarva dharma,simple,medium,english,minor (~ natabhairavi)
Rama Krishna Sai Ram Ai no Melody,sarva dharma,simple,medium,japanese,minor (~ natabhairavi)
Rama Krishna Tum Ho Jaya Ram Jaya Ram,sarva dharma,simple,medium,sanskrit / hindi,~ natabhairavi
Rama Rama Raghu Ram Shyam Shyam Ghana Shyam,sarva dharma,,,sanskrit / hindi,bageshri
Rama Rama Rama Sai Rama Namo,sarva dharma,simple,medium fast,sanskrit / hindi,~ shuddha dhanyasi
Renge no Miashi ni Sasage yo Ai no Kokoro Sai Ram,sarva dharma,advanced,medium fast,japanese,minor (natabhairavi)
Sadguru Sai Ram Jai Bolo Sadguru Sai Ram,"guru, sarva dharma",intermediate,medium fast,sanskrit / hindi,karaharapriya / kafi
Sai Baba Bolo Sathya Sai Baba Bolo,sarva dharma,advanced,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Sai Baba Sai Baba Sathya Sai Avatar of the Lord,sarva dharma,simple,medium,english,major (shankarabharanam / bilawal)
Sai Baba Tera Naam Sathya Sai Baba Tera Naam,sarva dharma,advanced,medium slow,sanskrit / hindi,shekara chandrika / gujari todi
Sai Deva Sathya Swaroopa Tum Ho Merey Baba,sarva dharma,advanced,medium slow,sanskrit / hindi,gavati
Sai Hamara Hum Sai Ke Aisa Prem Hamara,sarva dharma,simple,medium fast,sanskrit / hindi,natabhairavi
Sai Harey Sai Baba Harey Sarva Dharma Priya Sai Harey,sarva dharma,,,sanskrit / hindi,
Sai Naam Bolo Govinda Naam Bolo,sarva dharma,intermediate,fast,sanskrit / hindi,~ charukeshi
Sai Naam Bolo Sathya Sai Naam Bolo,sarva dharma,simple,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Sai Natha Bhagawan Sai Natha Bhagawan,sarva dharma,intermediate,fast,sanskrit / hindi,jaunpuri
Sai Ram Jaya Sai Ram Shirdi Pureeshwara Ram,sarva dharma,intermediate,medium slow,sanskrit / hindi,yaman kalyan
Sai Ram Radhey Shyam Jai Jai Sai Ram (3),"krishna, sarva dharma",advanced,medium fast,sanskrit / hindi,~ sindhu bhairavi / bhairavi
Sai Ram Sai Ram,sarva dharma,simple,medium fast,sanskrit / hindi,natabhairavi
Sai Ram Sai Ram Sai Ram Bhajo,"guru, sarva dharma",intermediate,medium,sanskrit / hindi,natabhairavi
Sai Rama Om Sai Krishna Sai Shiva Buddha Sai Baba Om,sarva dharma,advanced,medium,sanskrit / hindi,minor (natabhairavi)
Salaam Valekum Salaam Valekum Salaam Valekum Salaam,sarva dharma,simple,medium,sanskrit / hindi,vakulabharanam / basant mukhari
Sarva Dharma Priya Deva,sarva dharma,intermediate,medium fast,sanskrit / hindi,mohanam / bhoop
Sarva Dharma Priya Sai Deva,sarva dharma,intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Sarva Dharma Priya Sai Deva,sarva dharma,,,sanskrit / hindi,bihag
Sarva Dharma Swaroopa Sai,sarva dharma,simple,medium fast,sanskrit / hindi,natabhairavi
Sathya Dharma Shanthi Prema Swaroopa Prashanthi Nilaya Deva,sarva dharma,intermediate,medium fast,sanskrit / hindi,~ darbari
Sathya Sai Baba  (8x),"sai, sarva dharma",simple,medium fast,english,minor (natabhairavi)
Shirdi Sai Dwarakamayi Prashanthi Vasi Sai Ram,sarva dharma,intermediate,medium,sanskrit / hindi,darbari
"Sing the name of the Lord Sai Rama, Sai Rama, Sai Rama",sarva dharma,simple,medium fast,english,major (shankarabharanam / bilawal)
Sri Guru Parthi Vasa,"sarva dharma, guru",advanced,medium slow,sanskrit / hindi,brindavan sarang
Sri Sathya Sai our heavenly host,sarva dharma,simple,medium fast,english,minor (natabhairavi)
The Lord unites our many faiths,sarva dharma,intermediate,medium fast,english,major (mohanam / bhoop)
The Name Of God Is Flowing Within Me,"sai, sarva dharma",intermediate,medium fast,english,~ major (harikamboji)
 The star is shining so bright,"jesus, sarva dharma",simple,fast,english,major (shankarabharanam / bilawal)
There are many races in this land; in different halls we pray,sarva dharma,simple,medium fast,english,~ major (harikamboji)
"Tu Eres Ram, Tu Eres Shyam, To Lo Eres Todo, Oh Mi Señor",sarva dharma,,,spanish,
Tum Bin Pran Nahin O Sai Merey,sarva dharma,advanced,slow,sanskrit / hindi,~ shubha pantuvarali / miyan ki todi
Tum Ho Allah Tum Ho Maulah,"sarva dharma, guru",,,sanskrit / hindi,
Tum Ho Merey Bhagawan O Sai,sarva dharma,,,sanskrit / hindi,~ bageshri
Tum Ho Shyam Ram Rahim (Baba),sarva dharma,intermediate,slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
"Un Solo Dios Eres Tu, Eres Tu Mi Senor",sarva dharma,simple,medium,spanish,major (shankarabharanam / bilawal)
"Yasni svet garit v’dushe,","sai, sarva dharma",simple,fast,russian,minor (natabhairavi)
Yesu Masiha Sarva Loka Nayaka,sarva dharma,advanced,,sanskrit / hindi,shankarabharanam / bilawal
"Your heart sings to me, (2)","sai, sarva dharma",simple,slow,english,harmonic minor
Yug Yug Ke Avatar Tum Hi Ho,sarva dharma,advanced,medium fast,sanskrit / hindi,kalyani / yaman
Yuga Yuga Ke Avatara Sai Rama Sai Krishna Sai Baba,sarva dharma,intermediate,medium,sanskrit / hindi,~ natabhairavi
All I ask of You is forever to remember Me--as loving You ,allah,intermediate,medium slow,english,major (shankarabharanam / bilawal)
Allah Hi Rehman Maulah Hi Reham Hai,allah,intermediate,medium fast,"sanskrit / hindi, arabic",~ madhuvanti
Ashraqat nafsi bi noorimin fuaadi,allah,simple,medium slow,arabic,minor (natabhairavi)
"Bismillah Alhamdullila, La Illaha Illalah (x 4)",allah,,,"french, arabic",
"Bismillah, Bismillah",allah,simple,medium,"french, haitian creole, hebrew",minor (natabhairavi)
Cada vez que siento tu lumbre,allah,intermediate,medium,spanish,harmonic minor
"Hu Allah, Allah Hu Allah, Allah Hu Allah, Allah Hu",allah,simple,medium fast,english,minor (natabhairavi)
La ilaha il-Allah Allah Allah (4x),allah,simple,medium fast,arabic,minor (natabhairavi)
Raghupathi Raghava Raja Ram Patitha Pavana Sita Ram,"rama, allah",intermediate,medium slow,sanskrit / hindi,pilu
When the light I see is Allah,allah,intermediate,fast,"english, arabic",harmonic minor
Aneela Kumara Hanumantha ,anjaneya,advanced,medium,sanskrit / hindi,"kanada, bageshri"
Anjana Nanda Veeram Ashoka Vana Sancharam,anjaneya,intermediate,fast,sanskrit / hindi,hamsanandi / sohini
Anjana Sutha Anjaneya,anjaneya,simple,medium,sanskrit / hindi,maand
Anjaneya Hanumantha Veera,anjaneya,,,sanskrit / hindi,mohanam / bhoop
Anjaneya Paahi Maam Hanumantha Paahi Maam,anjaneya,,,sanskrit / hindi,hamsadhwani
Anjaneya Veera Hanumantha Shoora,anjaneya,simple,fast,sanskrit / hindi,hamsadhwani
Hey Rama Dootha Hey Rama Bhaktha Hey Rama Daasa Namo Namo,anjaneya,intermediate,medium fast,sanskrit / hindi,jaunpuri
Jai Jai Hanuman Jaya Hanuman (2),anjaneya,intermediate,medium fast,sanskrit / hindi,abheri / bhimpalas
Jaya Anjaneya Jaya Rama Dootha Sharanam Prabho Sharanam,anjaneya,advanced,fast,sanskrit / hindi,hamsanadam
Jaya Bajrang Jaya Balabheem Jaya Hanuman Jaya Bolo (2),anjaneya,,,sanskrit / hindi,kanada
Jaya Hanuman Jaya Hanuman (7),anjaneya,simple,fast,sanskrit / hindi,khamaj
Jaya Ho Jaya Ho Anjaneya,anjaneya,intermediate,medium fast,sanskrit / hindi,brindavan sarang
Jaya Jaya Pavana Kumara,anjaneya,simple,fast,sanskrit / hindi,natabhairavi
Jaya Maruti Jaya Maruti Jaya Rama Dootha,anjaneya,intermediate,medium fast,sanskrit / hindi,abheri / bhimpalas
Jaya Vijayee Bhava Jaya Vijayee Bhava,anjaneya,intermediate,medium fast,sanskrit / hindi,desh
Mangala Murthy Maruti Raya Raghava Priya Jaya Hanuman,anjaneya,advanced,medium,sanskrit / hindi,madhuvanti
Maruti Raya Mangala Naama,anjaneya,,,sanskrit / hindi,hamsadhwani
Maruti Raya Namo Namo ,anjaneya,intermediate,fast,sanskrit / hindi,shuddha sarang
Pavana Sutha Hanuman Ki Jai,anjaneya,intermediate,medium,sanskrit / hindi,yaman kalyan
Pavana Sutha Hanumantha,anjaneya,,,sanskrit / hindi,sindhu bhairavi / bhairavi
Prabhu Ramachandra Ke Dootha Hanumantha Anjaneya,anjaneya,simple,fast,sanskrit / hindi,kalyani / yaman
Rama Bhaktha Hanumantha,anjaneya,,,sanskrit / hindi,maand
Rama Dhyana Nirata Anjaneya,anjaneya,advanced,fast,sanskrit / hindi,shivaranjani
Rama Lakshmana Janaki Jai Bolo Hanuman Ki,anjaneya,intermediate,medium fast,"sanskrit / hindi, awadhi",~ shankarabharanam / bilawal
Rama Lakshmana Janaki Jai Bolo Hanuman Ki (4),anjaneya,intermediate,fast,sanskrit / hindi,"pilu, tilang"
Rama Lakshmana Janaki Jai Bolo Hanuman Ki,anjaneya,simple,fast,sanskrit / hindi,shankarabharanam / bilawal
Rama Naama Smaranam Sada Mokshanandakaram,"rama, krishna, sai, anjaneya",,,sanskrit / hindi,dwijavanti / jaijaivanti
Sita Rakshaka Rama Dootha,anjaneya,intermediate,fast,sanskrit / hindi,madhyamavati / madhmad sarang
Sita Ramachandra Ki Jai Jai Bolo,anjaneya,simple,medium fast,sanskrit / hindi,surya
Vayu Kumara Vanara Veera,anjaneya,simple,medium slow,sanskrit / hindi,khamaj
Veera Dheera Shoora Hanuman Ki Jai,anjaneya,intermediate,medium fast,sanskrit / hindi,vibhas
Veera Hanumana Ati Balawana Ram Naam Rasiyarey,anjaneya,simple,medium fast,sanskrit / hindi,"shankarabharanam / bilawal, khamaj"
Veera Hanumathey Namo Namo,anjaneya,,,sanskrit / hindi,kanada
Veera Maruti Gambhira Maruti,anjaneya,intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Ayyappa Sharaname (3) Swami Ayyappa Sharaname (2),ayyappa,simple,medium fast,tamil,darbari
Bhaktha Jana Lola Sharanam Ayyappa,ayyappa,intermediate,medium fast,sanskrit / hindi,ananda bhairavi
Sabari Giri Vasa Parama Dayala,ayyappa,intermediate,medium,tamil,mishra gavati
"Sabari Girisha Engal Nayaga, Sharanam Ayyappa Swami Sharanam Ayyappa",ayyappa,advanced,medium,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Swami Sharanam Ayyan Sharanam Ayyappa Sharanam Sharanam Ponnaiappa,ayyappa,simple,medium fast,tamil,mohanam / bhoop
Swamiye Charanam Sharanam Ponnaiappa,"ayyappa, guru",intermediate,medium,tamil,vakulabharanam / basant mukhari
Swamiyey Sharanam Sharanam Ayyappa (2),ayyappa,intermediate,medium fast,sanskrit / hindi,shivaranjani
Haru no No no Utsukushisa,buddha,intermediate,medium,japanese,major (mohana kalyani / shuddha kalyan)
Namu Amida Butsu Namu Amida,"sarva dharma, buddha",simple,medium fast,japanese,minor (natabhairavi)
Namu Kanzeon Daibosatsu (3),buddha,intermediate,medium,japanese,~ major (shankarabharanam / bilawal)
Ooinaru Mezame no Shifuku no Hana wo,buddha,intermediate,medium slow,japanese,major (mohanam / bhoop)
Sai wa Buddha Buddha wa Sai,buddha,advanced,fast,japanese,"major and minor (~ shivaranjani), hamsanandi / sohini"
Teach me the way to live Lord Buddha,buddha,simple,medium,english,major (shankarabharanam / bilawal)
Abhaya Pradayini Ananda Roopini,devi,advanced,medium,sanskrit / hindi,kapi
Abhaya Pradayini Ananda Roopini,devi,advanced,medium slow,sanskrit / hindi,yaman kalyan
Abhaya Pradayini Mata Mahalakshmi,devi,advanced,medium,sanskrit / hindi,amruthavarshini
Adi Parashakthi Ma Ananda Roopini Ma,devi,intermediate,slow,sanskrit / hindi,charukeshi
Aganita Guna Abharana Vibhushani,devi,advanced,medium,sanskrit / hindi,abheri / bhimpalas
Akhila Loka Nayaki Devi Tripura Sundari,devi,intermediate,medium fast,sanskrit / hindi,hamsadhwani
Amba Bhavani Jagadamba Bhavani (4),devi,,,sanskrit / hindi,hamsadhwani
Amba Bhavani Sayeeshwari (Jagad),devi,,,sanskrit / hindi,
Amba Manda Haasa Vadani Manohari Sai Jagat Janani,devi,advanced,slow,sanskrit / hindi,bageshri
Amba Parameshwari Akhilandeshwari,devi,simple,medium fast,sanskrit / hindi,madhyamavati / madhmad sarang
Amba Shankari Parameshwari Shashi Shekari Amba,devi,intermediate,medium,sanskrit / hindi,natakurinji
Amba Vandanam Eshwaramba Vandanam,devi,advanced,medium slow,sanskrit / hindi,kalyani / yaman
Ambe Bhavani Anand Ma,devi,,,sanskrit / hindi,
Ambe Bhavani Ma Jai Jai Bhavani Ma,devi,intermediate,medium,sanskrit / hindi,abheri / bhimpalas
Ambe Gowri Ma Jagadambe Gowri Ma,devi,intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Ambe Jagadambe Kali Ambe Jagadambe,devi,intermediate,fast,sanskrit / hindi,"natabhairavi, madhyamavati / madhmad sarang"
Ambe Janani Abhirami,devi,advanced,medium slow,sanskrit / hindi,shivaranjani
Ananda Roopini Sai Narayani,devi,,,sanskrit / hindi,
Ananda Sagari Dayakari,devi,advanced,medium slow,sanskrit / hindi,mayamalavagowla / bhairav
Ananda Tandava Rudra Maheshwari,devi,,,sanskrit / hindi,ananda bhairavi
Anatha Rakshaki Sai Maheshwari,"devi, sai",,,sanskrit / hindi,
Ancient Mother I hear you calling,devi,intermediate,slow,"english, native american",minor (natabhairavi)
Annapoorneshwari Palaya Maam,devi,intermediate,medium fast,sanskrit / hindi,yaman kalyan
Avatarini Amba Bhaya Harini,devi,,,sanskrit / hindi,sindhu bhairavi / bhairavi
Bhaava Vinodini Ma Sai Jaya Jaya Ma Janani,devi,advanced,slow,sanskrit / hindi,"gowri manohari / patdeep, sumanesa ranjani / madhukauns"
Bhairavi Ambe Bhavani (Amba),devi,advanced,medium slow,sanskrit / hindi,yaman kalyan
Bhajorey Bhajo Sada Durga Bhavani,devi,intermediate,medium slow,sanskrit / hindi,shuddha saveri / durga
Bhavani Amba Shiva Ranjani,devi,,,sanskrit / hindi,
Bhavatharini Partheeshwari,devi,advanced,medium slow,sanskrit / hindi,madhuvanti
Bhuvana Mohini Sri Varalakshmi,devi,,,sanskrit / hindi,brindavan sarang
Chandi Chamundi Jaya Vaishnavi Devi Ma,devi,intermediate,fast,sanskrit / hindi,hamsanandi / sohini
Chandi Janani Ma ,devi,intermediate,fast,sanskrit / hindi,gowri manohari / patdeep
Chandramouleeshwari Shankari Shankari,devi,intermediate,,sanskrit / hindi,bageshri
Chaturmukha Bhaaryey Maam Paahi,devi,advanced,,sanskrit / hindi,vijaya saraswathi
Darshana Do Sai Mata,devi,,,sanskrit / hindi,sindhu bhairavi / bhairavi
Daya Karo Daya Karo Daya Karo Ma,devi,intermediate,,sanskrit / hindi,madhyamavati / madhmad sarang
Daya Karo Hey Jaya Jagat Janani,devi,advanced,,sanskrit / hindi,yaman kalyan
Daya Sudha Barsao Mata Jaya Jaya Jaya Ambe,devi,intermediate,medium,sanskrit / hindi,shivaranjani
Deena Janavani Vara Dayini,devi,advanced,medium fast,sanskrit / hindi,khamaj
Dehi Sharanam Simha Vahini,devi,advanced,medium slow,sanskrit / hindi,mishra surya
Devi Bhavani Jagat Janani,devi,intermediate,medium,sanskrit / hindi,tilang
Devi Bhavani Ma Jaya Sai Bhavani Ma,devi,intermediate,medium fast,sanskrit / hindi,natabhairavi
Devi Durga Dasha Bhuja Dharini,devi,advanced,medium,sanskrit / hindi,shuddha saveri / durga
Devi Durga Kalyani,devi,advanced,medium slow,sanskrit / hindi,~ dharmavati
Devi Jagat Janani Sai Mata,devi,advanced,medium,sanskrit / hindi,abheri / bhimpalas
Devi Janani Sai Janani Darshana Do Mata,devi,advanced,,sanskrit / hindi,sindhu bhairavi / bhairavi
