Guru,Bhajan,Meaning
Guru,"Ashta Bhujangini Divya Swaroopini Kaali Kapaalini Maa 
Duritha Nivarini Bhava Bhaya Harini Mangalakaarini Maa 
Janani Shubha Janani Parthi Pureeshwari Shankari Maa (2x)","Oh heavenly beauty, Goddess Durga, with eight arms, Mother
Kaali, Kapaalini! You always help us quickly overcome our 
problems. You have encouraged us to overcome the fear of existence 
and getting entangled in the endless cycle of births and deaths. 
You have always brought auspiciousness into our lives. Oh Mother, 
Oh Divine Mother, Goddess of Puttaparthi (we adore You)."
Guru,"Bhaja Mana Maa Maa Maa Maa Bhaja Mana Maa Maa Maa Maa 
Aananda Mayi Maa Maa Aananda Mayi Maa Maa 
Aananda Mayi Maa Maa Aananda Roopa Maa Maa 
Aananda Roopa Maa Maa 
Aananda Mayi Maa Maa","Oh mind, chant the name of Mother; Mother-full of bliss, Mother-Whose Form is blissful
Mother-full of bliss"
Guru,"Bhajorey Maa Bhajorey Maa 
Bhajorey Bhaja Mana Sai Maa 
Bhajorey Saraswathi Shankari Maa 
Bhajorey Chandi Maheshwari Maa 
Parvathi Bhava Bhaya Haarini Maa 
Pankaja Lochani Sai Maa","Oh Mind! Worship the Lotus-eyed Mother Sai, Destroyer of evil,
fear and bondage of birth and death. Goddess Saraswati - bestower of knowledge."
Guru,"Bhajorey Sada Bhajo Durga Bhavaani 
Bhava Bhaya Bhanjani Sai Bhavaani 
Bhajorey Sada Bhajo Durga Bhavaani 
Mahishaasur Mardani Bhavaani 
Dayaa Sagari Hey Jagajanani","Always worship Mother Durga Bhavani. She is the destroyer of
fear and cycle of birth and death. She is slayer of demon 
Mahisasur. Oh Mother of the Universe! Thou art full of mercy"
Guru,"Bhavaani Jai Jai Bhavaani Jai Jai 
Kailaasha Shakthi Shiva Shankari Jai Jai 
Namah Shivaayo Namah Shivaayo (2X)","Victory to the Mother of the Universe; The highest divine Energy of the Universe
Who lives on Mount Kailash with Shiva; I bow to the Divine Power of Shiva"
Guru,"Dayaa Karo Dayaa Karo Dayaa Karo Maa 
Rakshaa Karo Rakshaa Karo Sathya Sai Maa 
Hey Maa Hey Maa 
Dayaa Karo Krupaa Karo Sathya Sai Maa 
Sathya Sai Maa Sathya Sai Maa",Oh Mother Sathya Sai! Kindly have mercy and protect us.
Guru,"Dayaa Karo Hey Poorna Jyothirmayi 
Shiva Shakti Mayi Krupaa Karo 
Brahma Sanaathani Dayaa Karo 
Anthar Jyoti Jalao Sai 
Brahma Sanaathani Dayaa Karo 
Shivashakthi Mayi Krupaa Karo 
Deena Dayaamayi Patheetha Paavani 
Shree Jaga Janani Rakshaa Karo","Have mercy, Oh Lord - the One full of effulgence; Have kindness, Oh Lord - the One with Shiva's powers;
Have mercy, Oh eternal Brahman; Sai, please light my inner lamp; 
Have mercy, Oh eternal Brahman; Have kindness, Oh Lord - the one with Shiva's powers, 
The One with compassion, the One with the powers to salvage 
the fallen, Oh Mother of the Universe, please protect us!"
Guru,"Dayaa Sudha Barasaavo Maata Jaya Jaya Jaya Ambe 
Prem Sudha Barasaavo Maata Jaya Jaya Jaya Ambe 
Devi Niranjani Sai Bhavaani Jaya Jaya Jaya Ambe 
Jaya Jaya Jaya Ambe","Oh Mother! Shower Thy mercy! Victory to the Mother! Oh Mother! Shower Thy Love! Victory to the Mother!
Oh Blemishless Mother Sai! Shower Thy Love! Victory to the Mother! 
(Devi, Bhavaani etc are various names of Parvathi"
Guru,"Dehi Sharanam Simha Vaahini 
Dehi Sharanam Asura Vinaashini 
Dehi Sharanam Bhava Bhaya Haarini 
Dehi Sharanam Hari Naaraayani 
Dehi Sharanam Brahma Sanaatani 
Dehi Sharanam Sai Naaraayani","Grant me protection: Oh Goddess Durga, Whose vehicle is Lion; Oh
destroyer of demons! Oh destroyer of fear of cycle of birth and 
death! Oh Consort of Lord Narayana! Oh Infinite One! Oh Sai Naaraayani!"
Guru,"Devi Sai Maa Devi Saraswathi Maa 
Durga Bhavaani Maa Kaali Kapaalini Maa 
Jagadoddhaarini Maa Sai Dayaakari Maa","Worship mother Sai who is none other than Saraswathi, Durga,
Bhavani, Kali and Kapalini. She is the merciful One who frees us 
from the endless cycle of births and deaths and lets us finally merge into Her."
Guru,"Devi Bhavaani Maa Sai Bhavaani Maa 
Dayaa Karo Sai Maa Krupaa Karo Sai Maa 
Jaya Maa Jaya Maa Jaya Sai Bhavaani Maa 
Jaya Parthi Nivaasini Maa 
Jaya Sai Bhavaani Maa","Victory to Goddess Bhavaani, Sai Bhavaani! Oh Mother Sai,
bestow Thy Grace on us and lead us on the spiritual path. May You be victorious in this task."
Guru,"Devi Bhavaani Maa Sai Bhavaani Maa 
Parthi Nivaasini Jaganmaata 
Deena Dayaakari Parama Kripaakari (2) 
Hey Jaga Vandini Maata 
Mangala Kaarini Moksha Vidhaayini 
Deena Samrakshini Maata","Oh Mother Bhavani, Oh Mother Sai, dweller of Puttaparthi, Oh
kind and compassionate One, adored by one and all, doing good all 
the time, conferring liberation to everyone, protecting the meek 
and forlorn, Oh universal Goddess, we bow to Thee."
Guru,"Devi Dayaa Karo Maa Jai Matha Gauri Kaali Maa 
Dukha Nivaaro Maayaa Devi Bhaktha Janomke Maya 
Mangala Karini Maa Jai Matha Gauri Kali Maa","Oh Divine Mother, have mercy on me
Victory to You, Oh Mother Gauri and Mother Kali (forms of the Divine Mother) 
Remove all my sorrows, Oh compassionate Mother of all devotees 
Oh auspicious Mother, victory to You, Mother Gauri and Mother Kali"
Guru,"Durga Bhavani Maa Jai Jai Sai Maa 
Kaali Kapaalini Maa Jai Jai Sai Maa 
Parama Shivayani Maa Jai Jai Sai Maa 
Jagatodhaarini Maa Jai Jai Sai Maa","Victory to Mother Durga, Bhavani, Kali and Sai. Victory to
Mother Sai, Who is supreme Shivayani (Power). Victory to Mother 
Sai, Who has come to save and deliver mankind."
Guru,"Durga Lakshmi Saraswathi Sai Jaganmaatha 
Sai Jaganmaatha Maam Paahi Jaganmaatha 
Sai Jaganmaatha Maam Paahi Jaganmaatha","Glory to Durga, Lakshmi, Saraswati and Sai; Sai, Divine Mother of the Universe, protect me."
Guru,"Durgati Nashini Durga Jai Jai 
Kaala Vinashini Kaalini Jai Jai 
Uma Rama Sarvaani Jai Jai 
Seetha Radha Rukmini Jai Jai 
Jai Jai Jai Hari Narayana Jai 
Jai Jai Gopeejana Vallabha Jai Jai 
Bhaktha Vatsala Sai Naathha Jai Jai","Victory to Goddess Durga, who destroys misfortunes and distress.
Victory to Goddess Kali, who is destroyer of death (time). 
Victory to Goddess Uma, Seetha, Radha and Rukshamani. 
Victory to Lord Sainath, who is affectionate, tender and loving towards devotees"
Guru,"Durgey Durgey Durgey Jai Jai Maa 
Karuna Saagari Maa 
Kaali Kapaalini Maa 
Jagadoddharini Maa 
Jagadambey Jai Jai Maa (repeat)","Victory to Mother Durga (Kali)! Oh Mother, the Ocean of compassion, Oh Mother Kali, Who is adorned with
the garland of human skulls (a symbol of Her annihilation of our egoism), Oh Mother, You uplift the world 
Victory to the Divine Mother who is the Mother of the Universe "
Guru,"Durgey Jaya Durgey Durgey Jaya Sai Matha 
Durgey Jaya Durgey Durgey Sai Maa 
Karuna Saagari Maa 
Kaali Kapaalini Maa 
Jagadoddharini Maa 
Durgey Jaya Jai Maa 
Jaya Durgey Sai Maa","Victory to Thee, Oh Goddess Durga (Parvathi)! Oh Mother Sai, Victory to Thee! Thou art the ocean of mercy;
Mother Thou art Kali (Parvathi) wearing a garland of skulls; 
Mother, Thou art the uplifter of the Universe! Mother, Victory to Thee, Oh Durga; Victory to Thee, Oh Mother Sai!"
Guru,"Durgey Jaya Jaya Durgey Jaya Jaya Duritha Nivaarini Durgey Jaya Jaya 
Durgey Jaya Jaya Durgey Jaya Jaya Bhava Bhaya Harini Bhavani Jaya Jaya","Victory to Durga; victory to Durga; victory to Durga, the Remover of all sins
Victory to Durga; victory to Durga; victory to Bhavani, the Remover of fear of this world"
Guru,"Gaanapriye Sai Karunaamayi 
Kaadambari Amba Karthyaayini 
Hari Vallabhe Sukha Daayini 
Omkara Roopini Narayini 
Bhuvaneshwari Jaganmohini 
Shree Chakra Vaasini Sayeeshwari","Oh Sai, the lover of music, the compassionate One!
Oh Mother, Kadambari, Kaarthyayini (different names for Parvathi)! 
Oh Mother You are the consort of Hari (Vishnu), the bestower of happiness! 
Oh Narayani, You are the primal form of Om! 
You are the Goddess of the world, Jaganmohini (One who beautifies the world) 
Oh Sayeeshwari (the Shakthi aspect of Sai), the One living in Sri Chakra!"
Guru,"Hey Amba Hey Amba Hey Amba Bol 
Eeshwara Sat Chitta Ananda Bol 
Saamba Sada Shiva Saamba Sada Shiva Saamba Sada Shiva 
Bol Paalaka Preraka Satpathi Bol 
Amba Amba Jaya Jagadamba Akhilaandeshwari Jaya Jagadamba","Sing ""Oh Mother, Oh Mother, Oh Mother""; Sing ""Lord, Existence, Awareness. Bliss Absolute"";
Sing ""Eternally Auspicious One""; Sing ""Protector, Inspirer and Lord of All""; 
Hail to Mother, the Mother of the world; Hail to the Mother of the entire Universe "
Guru,"Hey Chinmayee Sai Janani 
Maatha Jaganmayi Sai Janani 
Thathwa Brahma Mayi Sai Janani 
Paraathparaamayi Sai Janani 
Shiva Shakthimayi Sai Janani 
Nithyaanandmayi Sai Janani","Hey Mother, the One who captivates the mind, Oh Mother Sai
who captivates the world, Thou art the embodiment of the 
creation itself, Oh Mother Sai, the all pervading effulgent 
One. You are endowed with the power of Shiva, Oh Mother Sai; You are ever immersed in supreme Bliss"
Guru,"Hey Rambha Janani Shree Sai Janani 
Bhavaani Jagadambe Maa Bhavaani Jagadambe Maa 
Tribhuvana Paalini Hey Karunaamayi Uma Shaaradaamba 
Raksha Karo Sai Maa","Oh Mother, Oh Sai Bhavani, Jagadambe (all appellations of
the Supreme Mother, the feminine aspect of Godhead), You protect 
the three worlds; You have supreme compassion. Oh Uma, Sharada (different 
names for Parvathi), please protect us"
Guru,"Jaago Jaago Maa Shankari Maa 
Shankari Maa Abhayankari Maa 
Ambha Bhavani Parvati Maa 
Devi Dayaa Karo Shiva Ramane 
Janani Thriloka Paalini Maa 
Jai Jai Bhavaani Maa","Oh Mother Parvati and Amba! Oh Sustainer of three worlds and
destroyer of fear! Please wake up. Victory to Thee Oh Mother 
Bhavani! We seek Your Grace. (Wake up means to be aware of the atmic reality latent in us.))."
Guru,"Jagadambey Ambey Bhavani 
Jagan Matha Mangala Dhayini 
Jagadeeshwari Sai Janani 
Parameshwari Parthi Shivani 
Naaraayani Mangala Karini 
Sayeeshwari Sankata Harini 
Sarvesahwari Sai Janani","Chant the many names of Mother of Universe, who removes danger
and grants auspiciousness. Mother: Ambey; Bhavani; Sai Janani; 
Parmeswari; Parthi Shivani; Naaraayani; Sayeeshwari; Sarveswari."
Guru,"Jagadambikey Jai Mano Mani 
Karunya Nilaye Kaadambari 
Amba Karunya Nilaye Kaadambari 
Karuna Kari Amba Parmeshwari 
Mohan Roopa Mayi Jagadeeshwari","Victory to Mother Amba, Mother of Universe. Chant the name of
Mother Saraswati (Kadambari: Goddess who moves about in Kadamba vana), 
who is embodiment of compassion; Mother Amba Mother of Universe, who is enchanting and mericful."
Guru,"Jagadeeshwari Dayaa Karo Maa 
Shivashankari Kripaa Karo Maa 
Partheeshwari Rakshaa Karo Maa 
Sayeeshwari Dayaa Karo Maa 
Shivashankari Kripaa Karo Maa","Oh Divine Mother of the Universe, Mother Partheeswari Sai! Have mercy on us and shower us with Your blessings"
Guru,"Jagadodhaarini Maa Vishwavilaasini Maa 
Sthirasukha Daayini Maa 
Jaya Jagadeeshwari Jaya Parameshwari 
Jaya Partheeswari Parvathi Maa 
Jagadodhaarini Maa Vishwavilasini Maa 
Parthipureeswari Parvathi Maa 
Bhava Bhaya Haarini Bhairavi Maa 
Shambavi Maa Gauri Maa 
Jaya Bhuvaneshwari Jaya Jagadeeshwari 
Jaya Partheeshwari Parvathi Maa","Hey Mother, the One who uplifts the world, The One who illumines the whole world,
The One who bestows ever lasting happiness, Victory to Thee, Goddess of the world, 
Victory to Thee, the One whose abode is at Puttaparthy, Oh Mother Parvathi, Thou art the dispeller of the cycle 
of birth and death, Victory to You, Bhairavi, Shambhavi, Gauri (all 
are differenet names for Parvathi) Maa, victory to Thee! Victory to Thee Parvathi, whose abode is at Puttaparthi"
Guru,"Jagadodhaarini Matha Durga Jagadodhaarini Maa 
Jaago Jaago Maa, Jaago Jaago Maa, Jaago Jaago Maa, Jananee 
Hey Durga Devi Rana Chandi Devi Hey Shiva Ramana Jaago Ma 
Hey Shiva Ramana Jaago Ma 
Jaago Jagadodhaarini Ma","This is a ""Praana-prathistaapana"" song. The Deity has been
sculptured in clay, dried, draped in the finest silk garments, 
decked with gold and diamond jewelry and placed in the shrine. 
Before beginning formal worship, devotees chant the ""Prana- 
prathishtapana"" song and pray "" Goddess Mother, we have prepared 
the clay statuette. Please infuse it with Your presence. Please 
breath life into it and make it wake up and come to life"" The 
meaning of the song is: Mother, uplifter of the universe, please 
wake up. Durga, chandi, consort of Lord Shiva, please make the 
image wake up into a living vibrant You."
Guru,"Jagan Maathey Jagat Janani 
Jaya Jagadambe Devi Bhavaani 
Devi Saraswathi Durga Lakshmi 
Mahishasura Samharini Maatha","Oh Mother of the Universe, Victory to Thee, Oh Jagadambe, Devi,
Bhavani (all appellations of Parvathi), Oh Devi, Saraswathi, 
Durga, Lakshmi (different names for Parvathi), Oh Mother You are the destroyer of the demon Mahisha"
Guru,"Jagan Maathey Jagat Janani 
Parthi Nivaasini Jagadambe 
Abhaya Pradaayini Duritha Nivaarini 
Durgati Naashini Jagadambe 
Jaya Jagadeeshwari Parthipureeshwari 
Umaa Maheshwari Jagadambe 
Jaya Jaya Devi Jaya Jaya Durge 
Jaya Jaya Matey Jagadambe","Oh Mother of the universe, dweller of Puttaparthi, Sai Matha,
Protector of all creation, saviour of mankind from sin, destroyer 
of penury or destitution, Oh divine Goddess, victory to Thee."
Guru,"Jagan Mohini Jaya Jaga Janani 
Jagatodhaarini Ambe Bhavaani 
Aadi Paraa Shakti Brahma Swaroopini 
Vedaa Gamaney Bhava Bhaya Haarini 
Naaraayani Patheetha Paavani 
Parthipureeshwari Sai Janani","Oh Mother, You have bewitched the whole world; You are the
mother of the entire universe; You are uplifting the whole world; 
You are the primeval Goddess of great power; You are the Creator, 
You are the originator of the Vedas; You are the One who dispels 
from the minds of people the fear of the endless cycle of births 
and deaths; You also bring salvation to those who have sinned, Oh 
Goddess Sai Matha of Puttaparthi, Victory to You!"
Guru,"Jagat Janani Jagadambey Bhavani 
Matha Maheswari Sai Naaraayani 
Tribhuvana Dharini Shakti Swaroopini 
Abhaya Pradayini Sai Naaraayani","Chant the names of Mother of Universe, Mother: Ambey; Bhavani;
Maheswari; Sayeeshwari. Oh Mother Sai Naaraayani! Thou art the bestower 
of blessings of fearlessness. Thou, in the Form of energy, pervades Three Worlds."
Guru,"Jagat Janani Sai Janani 
Aadi Puja Sanathani 
Jagat Janani Sai Janani 
Maha Vidya Daayini 
Tribhuvani Dhaarini 
Bhakthi Mukthi Daayini Maa 
Bhava Bhaya Dukha Haarini","Oh Mother of the universe, Mother Sai! Oh eternally pure One!
Thou art Grantor of great wisdom. devotion, and liberation and 
Bearer of the three worlds and Destroyer of miseries and fear of the cycle of birth and death"
Guru,"Jagat Janani Shiva Sai Shankari 
Matha Maheshwari Parvathi Maa 
Abhaya Pradayini Aananda Roopini 
Maatha Bhavani Maa 
Jaya Jaya Maa 
Kali Kapalini Ma Jaya Maa 
Kali Kapalini Maa","Oh Mother, the Creator of the Universe! Oh Shankari, Maheshwari,
Parvathi (all appellations of Parvathi), Thou art the form of Bliss, 
Thou art the One bestowing protection on all of us. Victory to Thee, 
Mother, Oh Kali (another name for the supreme Mother"
Guru,"Jai Jai Bhavaani Maa Ambey Bhavaani Maa 
Ambe Bhavaani Maa Sai Bhavaani Maa 
Jai Jai Bhavaani Maa Ambey Bhavaani Maa 
Shirdi Bhavaani Maa Parthi Nivaasi Maa 
Atma Nivaasini Maa Sai Bhavaani Maa","Glory to the Divine Mother, to Parvati! The Divine Mother of Shirdi now dwells in Puttaparthi
The Divine Mother, Parvati, indweller of every soul"
Guru,"Jai Jai Devi Ambey Bhavaani 
Durga Saraswathi Lakshmi Naaraayani 
Jai Jai Devi Ambey Bhavaani 
Abhaya Pradaayani Tribhuvana Dhaarini 
Parthi Nivaasini Sai Janani","Victory to Thee, Oh Divine Mother! Thou art the embodiment of Durga,
Lakshmi, Saraswati. Mother Sai, You are the dispeller 
of fear and the supporter of the entire Creation."
Guru,"Jai Jai Devi Girija Maatha 
Jai Jagadambey Pranava Swarupini 
Ashta Bhujangini Akhilaa Dhaari 
Jai Yogeeswara Hrudaya Vihaari","Victory to Goddess Girija - Mother of Universe; Mother Amba, whose
form is ""OM"", who has eight hands (poised in blessings) and who is 
omnipresent and supremest, residing in the hearts of everyone."
Guru,"Jai Jai Durge Jai Bhavaani 
Shaambhavi Shankari Jai Bhavaani 
Jaya Jagadambe Jaya Mangalye 
Shaambhavi Shankari Jai Bhavaani 
Jaya Jagajanani Maha Kali Jai 
Shaambhavi Shankari Jai Bhavaani","Victory to the Divine Mother, called Durga, Bhavani, Shambhavi, Shankari, Kali;
She Who is auspicious, the Mother of the universe"
Guru,"Jai Jai Jai Devi Jagadamba 
Sankata Harani Mangala Karani 
Jnana Shakti Vijnana Mayi 
Prema Mayi Kalyana Mayi 
Subha Dey Maatha Devi Jagan Maatha","Victory to Goddess Amba- Mother of Universe: who is grantor of
auspiciousness and prosperity and destroyer of dangers; who confers 
knowledge, power and supreme wisdom; who is embodiment of 
auspiciousness and love. Oh Mother of Universe ! Kindly bestow prosperity."
Guru,"Jai Jai Jai Devi Naaraayani 
Sai Janam Maran Bhaya Haarini 
Dukha Nivarini Jag Pari Paalini 
Jai Jai Jai Sai Jag Janani 
Jag Janani Subha Janani 
Jai Jai Jai Sai Jag Janani","Victory to Goddess Naaraayani. Oh Mother Sai of the entire Universe !
Thou art the destroyer of fears of birth and death and all miseries. Victory to auspicious 
Mother of Universe, Mother Sai."
Guru,"Jai Jai Jai Jaga Vandini Maa 
Jai Paramesha Hridaya Vaasini Maa 
Aadi Shakthi Para Brahma Swarupini 
Jai Janani Chathur Veda Vilaasini 
Shaambhavi Mohini Maatha Bhavaani 
Shaambhavi Shankari Moksha Pradaayini","Victory to Mother, residing in our heart and to Whom the entire
creation pays obeisance. Oh Mother of the Universe! Oh Giftor of 
Four Vedas! Thy Form is infinite bliss and infinite power. Oh 
Enchanting Mother Bhavani, Shambhavi and Shankari! Thou art bestower of liberation and salvation."
Guru,"Jai Jai Jai Mahadevi 
Jai Jai Devi Naaraayani 
Maheshwari, Maheshwari 
Jai Jai Jai Mahadevi 
Hey Maa Shree Maa Jai Maa 
Sai Maatha Jagan Maatha 
Sai Maatha Durga Maatha","Glory to the great Goddess. Glory to the Goddess Lakshmi, Almighty God in the form of Parvati,
Glory to the great Goddess, Glory to the most auspicious mother, Sai Baba, Mother of all creation"
Guru,"Jai Jai Janani Sai Janani Ambey Bhavaani Maa 
Jaya Maa Jaya Maa Sai Bhavaani Maa 
Sathya Sai Bhavaani Maa 
Jai Jai Janani Sai Janani Ambey Bhavaani Maa 
Simha Vaahini Thrishoola Dhaarini Ambey Bhavaani Maa 
Jai Jai Janani Sai Janani Parthy Nivaasini Maa","Victory to Thee Mother, Ambe, Bhavaani (appellations of Parvathi);
Victory to Sai, the Mother, victory to Sathya Sai - the Mother; 
Victory to the One who rides in a lion and weilds a trident; 
Victory to Mother Sai residing at Parthi"
Guru,"Jai Jai Sai Maa Jai Sai Saraswathi Maa 
Veena Vaadini Maa Vidya Daayini Maa 
Jai Jai Sai Maa Jai Sai Saraswathi Maa 
Mukthi Pradaayini Maa Shakthi Pradaayini Maa 
Veena Vaadini Maa Vidya Daayini Maa","Victory to Mother Sai Saraswati: Player of (heart soothing music on
string instrument) Veena; Bestower of wisdom; Grantor of energy (life) and liberation."
Guru,"Jai Jai Saraswathi Maatha Thujhko Laakho Pranaam 
Laakho Pranaam Thujhko Koti Pranaam 
Jai Jai Lakshmi Maatha Thujhko Laakho Pranaam 
Laakho Pranaam Thujhko Koti Pranaam 
Jai Santoshi Maya Thujhko Koti Pranaam 
Laakho Pranaam Thujhko Koti Pranaam 
Govardhana Giridhari Thujhko Laakho Pranaam 
Laakho Pranam Thujhko Koti Pranaam 
Parthi Nivaasi Sai Thujhko Laakho Pranaam 
Laakho Pranaam Thujhko Koti Pranaam","Victory, Victory to Mother Saraswati, Goddess of Divine Knowledge,
Millions of prostrations to You, Victory, Victory to Mother Lakshmi, 
Goddess of wealth and prosperity, Millions of prostrations to You, 
Victory , Victory to Mother Santoshi, Millions of prostrations to You, 
Millions of prostrations to Shree Krishna, Who lifted Govardhana Mountain, 
Millions of prostrations to You, Millions of prostrations to Sai, 
Resident of Parthi, Millions of prostrations to You "
Guru,"Jai Jai Shankari Jai Parameshwari 
Jai Shiva Shankari Maa 
Jai Vishweshwari Jai Sarveshwari 
Vibhoothi Sundara Maa 
Jaya Maa Jaya Maa Puttaparthi Pureeshwara Maa 
Vibhooti Sundara Maa","Victory to Mother of Universe : Shankari, Parmeswari, Shiva
Shankari, Sarveyswari, Puttaparthipuriswari. Victory to charming Mother."
Guru,"Jai Maa Aananda Mayi Janani 
Sub Par Kripaa Karo Janani 
Bhaktha Janon Key Mangala Karini 
Mangala Karo Janani 
Maa Mangala Karo Janani 
Thum Ho Prema Daayani 
Sub Par Kripaa Karo Janani","Victory to Thee Mother- the embodiment of bliss! Shower Thy grace
on all. Thou art the bestower of auspiciousness on all the devotees. Oh 
Embodiment of Love! Shower Thy grace on all."
Guru,"Jai Maa Kaali Durgey Maa Kaali Maa 
Jai Maa Kaali Durgey Maa Kaali Maa 
Jai Maa Durgey Maa, Jai Maa Durgey Maa",Victory to Kali and Durge - the Divine Mother
Guru,"Janani Janani Sathya Sai Shubha Janani 
Jagat Kaarini Paripoorini Sayeeshwari Janani 
Sathya Swaroopini Janani 
Dharma Samvardhini Janani 
Shaanta Swaroopini Janani 
Prema Pradaayini Janani","Oh Mother Sathya Sai, You are the great Goddess who ferries the
entire world across the ocean of life and death. You give in 
abundant measure. You are the very embodiment of Truth. You, 
mother, are the one who promotes right conduct in people. You are 
the embodiment of blissful peace. You give selfless love in abundance."
Guru,"Janani Kripaa Karo Ambey 
(Sai) Janani Jaya Jagadambey 
Janani Kripa Karo Ambey 
Janani Janani Janani Janani 
Maatha Maheshwari Mangala Dayini Ambey 
Mangala Daayini Tripureeshwari Jagadambey 
Abhaya Daayini Amrita Bhaashini Ambey 
Janani Janani Janani Janani","Give us Grace, Oh Janani (Mother) Ambe; Victory to the Mother of the Universe;
Oh Maheshwari Who grants auspiciousness, Who is the Goddess of the three worlds, 
Grantor of fearlessness, Bestower of the sweet nectar of Life "
