Bhajan,Deity,Meaning,Level,Tempo,Language,Raga
Mathanga Vadana Aananda Sadana ,Ganesha,"Elephant-faced one, source of bliss, son of Shiva, remover of
illusion who rides the mouse; Son of mother Parvati, Lord of 
Ganas, One who has a mouse as His vehicle, whose feet are auspicious.",advanced,medium slow,sanskrit / hindi,mayamalavagowla / bhairav
Mathanga Vadana Maam Palaya ,Ganesha,"Protect me, Elephant-faced one, source of bliss, son of Shiva
and Gauri, Giver of auspiciousness and liberation.",intermediate,medium fast,sanskrit / hindi,kuntalavarali
Namami Nithyam Gananatham Smaraami Nithyam Gajavadanam ,Ganesha,"To the Lord of the Divine Forces, Always I bow in reverence.
I am always singing Your glory, God Ganesha",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Namosthuthe Ganapathi Ganaraaya ,Ganesha,"Salutations to You Hey Ganesha, Hey son of Shiva, the One with
the elephnat head. Salutations to Thee, Hey Sai Ganesha",advanced,medium,sanskrit / hindi,~ hamsadhwani
Parvathi Nandana Gajanana ,Ganesha,"Ganesh, son of Shiva, Parvathi's son, whose face shines with
goodness and auspiciousness, who is pleasing to all, faultlessly pure, protect us, Lord.",simple,medium fast,sanskrit / hindi,pahadi
Pashupathi Thanaya Baala Gajanana ,Ganesha,"Chant the name of darling son of Lord Shiva (Pashupati) - Lord Gajanana
who is destroyer of obstacles. O son of Lord Shiva - Lord Gajanana! 
Kindly protect me and grant me spiritual knowledge and bestow auspiciousness. 
Chant the name of charming Lord Sai Gajanana",intermediate,medium,sanskrit / hindi,mohanam / bhoop
Prasanna Ho Sathya Sai Ganesha ,Ganesha,"Please derive joy from our worship, O Sai Ganesh. You are the One who is always worshipped first, O destroyer of obstacles.",intermediate,medium,sanskrit / hindi,shankara
Prathama Sharana Gana Naayaka Om ,Ganesha,"First pay obeisance to Lord of Demi-Gods, Lord Vinayaka, who
destroys obstacles and assures success; who grants (spiritual) 
knowledge and intelligence. Lord Sai Gajanana has mouse as a vehicle.",advanced,medium,sanskrit / hindi,miyan ki malhar
Prathama Vandana Gauri Nandana ,Ganesha,"First pay obeisance to Lord Sai Gajanana, the beloved Prince of Lord Shiva and Mother Gauri. Oh Vinayaka, You are adorned with
a single tusk, You are the embodiment of goodness. 
O Lord Sai Gajanana! Thou art the Remover of obstacles, Bestower of auspiciousness and Life Force of all beings",advanced,slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Sai Deva Sree Ganesha ,Ganesha,"Hey Sai, Yu are Lord Ganesha. I prostrate to Thee, Hey destroyer
of obstacles. Hey son of Parvathi, Hey Lord of Parthi, Hey son of Shiva, victory to Thee",advanced,medium,sanskrit / hindi,maand
Shambho Kumaara Gajanana ,Ganesha,"Elephant-faced Lord Ganesha, son of Shiva and Parvati, whose eyes are like lotuses.",,,sanskrit / hindi,shankarabharanam / bilawal
Sharanam Sharanam Sai Gajananam ,Ganesha,"I surrender to Lord Sai Gajanana, Lord of Demi-Gods. Lord Sai
Gajanana removes obstacles, bestows grace, intelligence and 
destroys evil tandencies. Worship Lord Sai Gajanana.",intermediate,medium slow,sanskrit / hindi,pahadi
Shree Gananatha Jaya Gananatha ,Ganesha,"Victory to Thee O Ganesh, son of Lord Shiva and Parvathi,
worshipped by gods and human beings, destroyer of vice and 
wickedness which plague the present age of Kali. Victory to Thee O lord!",,,sanskrit / hindi,hindolam / malkauns
Shuklam Bhara Dharam Ganapathi Mantram ,Ganesha,"Always worship Lord Ganapati, remover of obstacles from path.",simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Subrahmanyam Subrahmanyam Shanmukhanatha Subrahmanyam ,Ganesha,"Sing the names of Lord Subramanyam, Lord with six faces,
Son of Shiva; Sing the names of Lord Subramanyam and of Shiva; 
Sing in praise of Lord Subramanyam who was born in the lake called Sharavanabhava",simple,fast,sanskrit / hindi,shankarabharanam / bilawal
Sundara Mukha Sree Gajanana ,Ganesha,"Hey elephant faced Lord Ganesha, Your face is beautiful.
Hey Gajanana, You are the Lord with a single tusk (of an elephant). 
I first worship Thee, Lord Ganesha. You are the One worshipped 
by all Rishis. Oh Lord Gnaesha, I prostrate to Thee",intermediate,medium fast,sanskrit / hindi,mishra vakulabharanam / basant mukhari
Sundara Sundara Vinayaka ,Ganesha,"Hey Vinayaka, the beautiful One, You bestow auspiciousness.
You are the remover of obstacles (in one's endeavours). 
You are the son of Eshwari (Parvathi) and You are the Gajanana of Parthi. Victory to Thee, Ganesha",intermediate,medium fast,sanskrit / hindi,bowli
Thum Ho Vighna Vinaasha Ganesha ,Ganesha,"O Lord Sai Ganesha! Thou art the remover of obstacles and life force
of living beings. You are the son of Parvathi and You are the 
embodiment of Pranava (Om). You are Sai Ganesha, who lives in Parthi",advanced,medium,sanskrit / hindi,gavati
Vighna Vinashaka Vinayaka ,Ganesha,"Thou art Dispeller of all obstacles, O Lord Ganesha
You have the body of an elephant. You grant us all peace and happiness 
Ganesha, You bestow and shower us with all good tidings. 
You are the Indweller of Puttaparthi oh Lord Ganesha. 
You are the everlasting Truth, O Ganesha, You remove all our obstacles. 
Lord Ganesha, we seek Your blessings",,,sanskrit / hindi,saramathi
Vighneshwaram Bhaja Vighneshwaram Sadguru Natham Gauri Sutham ,Ganesha,"Hey son of Gauri (Parvathi), we chant Thy name, Divine perceptor.
You are the remover of obstacles. Victory to You, son of 
Shiva and Devi (Parvathi). You are the bestower of boons and 
wisdom. We seek refuge in You, son of Devi (Ganesha",intermediate,medium slow,sanskrit / hindi,karaharapriya / kafi
Vinayaka Vighna Naashaka ,Ganesha,"Worship Ganesh, the one who leads, remover of obstacles,
protector of the helpless, giver of bliss, son of Parvathi and Shiva",intermediate,medium fast,sanskrit / hindi,keeravani
Vinayaka Vinayaka ,Ganesha,"Hail Ganesha, who is worshipped before all others; Ganesha,
sustainer of the universe; The giver of all boons who destroys 
worldly fears; Ganesha, who is revered by Saints and Sages; 
Ganesha, sustainer of the universe.",intermediate,medium,japanese,hamsadhwani
Vinayaka Vinayaka ,Ganesha,"Hail Ganesha, who is worshipped before all others; Ganesha,
sustainer of the universe; The giver of all boons who destroys 
worldly fears; Ganesha, who is revered by Saints and Sages; 
Ganesha, sustainer of the universe.",simple,medium,sanskrit / hindi,gavati
Vinayaka Vinayaka ,Ganesha,"Hail Ganesha, who is worshipped before all others; Ganesha,
sustainer of the universe; The giver of all boons who destroys 
worldly fears; Ganesha, who is revered by Saints and Sages; 
Ganesha, sustainer of the universe.",intermediate,medium,sanskrit / hindi,hamsadhwani
Amba Manda Haasa Vadani Manohari Sai Jagat Janani ,Devi,"Worship the auspicious Mother of the Universe, Mother Sai and
Amba who has an enchanting face with a charming smile.",advanced,slow,sanskrit / hindi,bageshri
Amba Parameshwari Akhilaandeshwari ,Devi,"Oh Goddess Amba (Parvati) Oh Divine Mother of the entire
creation! Oh Queen of the Universe! Thy form is bliss. Thou art 
the nourisher, sustainer and protector.",simple,medium fast,sanskrit / hindi,madhyamavati / madhmad sarang
Ambey Janani Abhiraami ,Devi,"Hey Mother Ambe (Parvathi); The One who gives protection, Parvathi;
Shambhavi, Shankari (Appellations of Parvathi), the supreme Goddess; 
The embodiment of peace, Parvathi; The embodiment of Truth, Mother Sai; 
The Mother who bestows ever lasting happiness",advanced,medium slow,sanskrit / hindi,shivaranjani
Dayaa Karo Dayaa Karo Dayaa Karo Maa ,Devi,Oh Mother Sathya Sai! Kindly have mercy and protect us.,intermediate,,sanskrit / hindi,madhyamavati / madhmad sarang
Dayaa Sudha Barasaavo Maata Jaya Jaya Jaya Ambe ,Devi,"Oh Mother! Shower Thy mercy! Victory to the Mother! Oh Mother! Shower Thy Love! Victory to the Mother!
Oh Blemishless Mother Sai! Shower Thy Love! Victory to the Mother! 
(Devi, Bhavani etc are various names of Parvathi",intermediate,medium,sanskrit / hindi,shivaranjani
Dehi Sharanam Simha Vaahini ,Devi,"Grant me protection: Oh Goddess Durga, Whose vehicle is Lion; Oh
destroyer of demons! Oh destroyer of fear of cycle of birth and 
death! Oh Consort of Lord Narayana! Oh Infinite One! Oh Sai Naaraayani!",advanced,medium slow,sanskrit / hindi,mishra surya
Devi Sai Maa Devi Saraswathi Maa ,Devi,"Worship mother Sai who is none other than Saraswathi, Durga,
Bhavani, Kali and Kapalini. She is the merciful One who frees us 
from the endless cycle of births and deaths and lets us finally merge into Her.",advanced,medium slow,sanskrit / hindi,"valaji / kalavati, janasammohini"
Devi Bhavani Maa Sai Bhavani Maa ,Devi,"Victory to Goddess Bhavani, Sai Bhavani! Oh Mother Sai,
bestow Thy Grace on us and lead us on the spiritual path. May You be victorious in this task.",intermediate,medium fast,sanskrit / hindi,natabhairavi
Devi Bhavani Maa Sai Bhavani Maa ,Devi,"Oh Mother Bhavani, Oh Mother Sai, dweller of Puttaparthi, Oh
kind and compassionate One, adored by one and all, doing good all 
the time, conferring liberation to everyone, protecting the meek 
and forlorn, Oh universal Goddess, we bow to Thee.",intermediate,medium fast,sanskrit / hindi,natabhairavi
Hey Chinmayee Sai Janani ,Devi,"Hey Mother, the One who captivates the mind, Oh Mother Sai
who captivates the world, Thou art the embodiment of the 
creation itself, Oh Mother Sai, the all pervading effulgent 
One. You are endowed with the power of Shiva, Oh Mother Sai; You are ever immersed in supreme Bliss",advanced,slow,sanskrit / hindi,chakravakam / ahir bhairav
Jaago Jaago Maa Shankari Maa ,Devi,"Oh Mother Parvati and Amba! Oh Sustainer of three worlds and
destroyer of fear! Please wake up. Victory to Thee Oh Mother 
Bhavani! We seek Your Grace. (Wake up means to be aware of the atmic reality latent in us.)).",,,sanskrit / hindi,shivaranjani
Jagadeeshwari Dayaa Karo Maa ,Devi,"Oh Divine Mother of the Universe, Mother Partheeswari Sai! Have mercy on us and shower us with Your blessings",simple,medium fast,sanskrit / hindi,charukeshi
Jagadodhaarini Matha Durga Jagadodhaarini Maa ,Devi,"This is a ""Praana-prathistaapana"" song. The Deity has been
sculptured in clay, dried, draped in the finest silk garments, 
decked with gold and diamond jewelry and placed in the shrine. 
Before beginning formal worship, devotees chant the ""Prana- 
prathishtapana"" song and pray "" Goddess Mother, we have prepared 
the clay statuette. Please infuse it with Your presence. Please 
breath life into it and make it wake up and come to life"" The 
meaning of the song is: Mother, uplifter of the universe, please 
wake up. Durga, chandi, consort of Lord Shiva, please make the 
image wake up into a living vibrant You.",intermediate,medium,sanskrit / hindi,shankara
Jagat Janani Jagadambey Bhavani ,Devi,"Chant the names of Mother of Universe, Mother: Ambey; Bhavani;
Maheswari; Sayeeshwari. Oh Mother Sai Naaraayani! Thou art the bestower 
of blessings of fearlessness. Thou, in the Form of energy, pervades Three Worlds.",,,sanskrit / hindi,
Jagat Janani Shiva Sai Shankari ,Devi,"Oh Mother, the Creator of the Universe! Oh Shankari, Maheshwari,
Parvathi (all appellations of Parvathi), Thou art the form of Bliss, 
Thou art the One bestowing protection on all of us. Victory to Thee, 
Mother, Oh Kali (another name for the supreme Mother",advanced,medium slow,sanskrit / hindi,raga mishran
Jai Jai Bhavani Maa Ambey Bhavani Maa ,Devi,"Glory to the Divine Mother, to Parvati! The Divine Mother of Shirdi now dwells in Puttaparthi
The Divine Mother, Parvati, indweller of every soul",simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Jai Jai Durge Jai Bhavani ,Devi,"Victory to the Divine Mother, called Durga, Bhavani, Shambhavi, Shankari, Kali;
She Who is auspicious, the Mother of the universe",,,sanskrit / hindi,shankarabharanam / bilawal
Jai Jai Jai Devi Jagadamba ,Devi,"Victory to Goddess Amba- Mother of Universe: who is grantor of
auspiciousness and prosperity and destroyer of dangers; who confers 
knowledge, power and supreme wisdom; who is embodiment of 
auspiciousness and love. Oh Mother of Universe ! Kindly bestow prosperity.",intermediate,medium,sanskrit / hindi,kalyani / yaman
Jai Jai Jai Devi Jagadamba ,Devi,"Victory to Goddess Amba- Mother of Universe: who is grantor of
auspiciousness and prosperity and destroyer of dangers; who confers 
knowledge, power and supreme wisdom; who is embodiment of 
auspiciousness and love. Oh Mother of Universe ! Kindly bestow prosperity.",,,sanskrit / hindi,hamsadhwani
Jai Jai Janani Sai Janani Ambey Bhavani Maa ,Devi,"Victory to Thee Mother, Ambe, Bhavani (appellations of Parvathi);
Victory to Sai, the Mother, victory to Sathya Sai - the Mother; 
Victory to the One who rides in a lion and weilds a trident; 
Victory to Mother Sai residing at Parthi",intermediate,medium,sanskrit / hindi,natabhairavi
Jai Jai Sai Maa Jai Sai Saraswathi Maa ,Devi,"Victory to Mother Sai Saraswati: Player of (heart soothing music on
string instrument) Veena; Bestower of wisdom; Grantor of energy (life) and liberation.",advanced,slow,sanskrit / hindi,"parameshwari, chakravakam / ahir bhairav"
Janani Janani Sathya Sai Shubha Janani ,Devi,"Oh Mother Sathya Sai, You are the great Goddess who ferries the
entire world across the ocean of life and death. You give in 
abundant measure. You are the very embodiment of Truth. You, 
mother, are the one who promotes right conduct in people. You are 
the embodiment of blissful peace. You give selfless love in abundance.",simple,medium slow,sanskrit / hindi,kalyani / yaman
Janani Sai Devi Dayaa Mayi ,Devi,"Dear Mother Sai, You give us everything; Mother, You grant us Your Divine Grace
You are the Highest Form of Love; Mother Sathya Sai, You grant us Mercy 
Glory to You, Sai, Mother of boundless Love! ",intermediate,medium,sanskrit / hindi,maand
Jaya Jaga Janani Maa ,Devi,"Victory to the Mother of Universe, Mother Sai. Chant the name of
Mother Sai Shiva Shankari, Sai Parameswari and Ambey Bhavani.",advanced,medium fast,sanskrit / hindi,desh
Jaya Jaga Janani Maa ,Devi,"Victory to the Mother of Universe, Mother Sai. Chant the name of
Mother Sai Shiva Shankari, Sai Parameswari and Ambey Bhavani.",advanced,slow,sanskrit / hindi,shuddha saveri / durga
Jaya Jagat Janani Jagadambey ,Devi,Glory to the Divine Mother of all beings,intermediate,medium fast,sanskrit / hindi,mishra abheri / bhimpalas
Jaya Jagat Janani Maa Jaya Maa ,Devi,"Glory to the Divine Mother of all beings; Parvati, the supreme
Goddess who lives in Puttaparthy; sustainer of the universe.",intermediate,medium slow,sanskrit / hindi,chandrakauns
Jaya Maa Jaya Maa Dayaa Karo Sai Maa ,Devi,"Hail Mother, compassionate and merciful Mother Sai who grants Liberation, Love and Peace,
Janani Ma, Mother of the Universe, Compassionate Sai Ma, Merciful Sai Ma, Hail to Thee, Mother Sai",advanced,slow,sanskrit / hindi,gavati
Jaya Maa Jaya Maa Jagadeeshwari Sai Maa ,Devi,"Victory to Mother of Universe, Mother Maheswari and Sayeeshwari",advanced,slow,sanskrit / hindi,darbari
Jaya Maa Jaya Maa Jaya Maa ,Devi,"Victory to Mother Sai who is the Embodiment of Love and Wisdom.
Oh lotus-faced Mother Sai, You are in the form of Shiva Shakthi, You always enjoy absolute bliss. 
Thy infinite Form is Auspiciousness and Power and Thou art the Grantor of liberation",advanced,medium,sanskrit / hindi,chakravakam / ahir bhairav
Jaya Shiva Nandana Jaya Jaga Vandana ,Devi,"Victory to Lord Shiva's son Ganesha who is adored by the whole
world. Victory to You, son of Parvathi. Protect us Oh Lord. Oh 
Primeval Spirit, son of Shiva, Thou hast come to us in the form of 
Sai Baba. Victory to Thee (in Your efforts to redeem the world",intermediate,medium slow,sanskrit / hindi,shivaranjani
Kaali Kaali Mahakaali Kapaalini ,Devi,Chant the various auspicious names of Mother Kali.,advanced,medium,sanskrit / hindi,hamir kalyani / kedar
Mangala Maya Vardey Bhavani ,Devi,"Oh Goddess Bhavani ! Thou art the bestower of auspiciousness and
destroyer of pain and misery. Chant the name of infinite and victorious, Mother Amba and Maheswari.",,,sanskrit / hindi,bageshri
Mangala Shubha Kari Maatha Maheshwari ,Devi,"Hey Mother, chief of Goddesses, the One who bestows auspiciousness,
Hey Mother, Ambe, Bhavani (all different names for Shakti - the feminine 
form of Godhead), Goddess of the Universe, You are the One with 
beautiful eyes. You are the supreme Goddess, the ancient One, the embodiment of supreme Bliss",advanced,medium fast,sanskrit / hindi,~ darbari
Matha Annapoorneshwari ,Devi,"Eulogise the power (Shakti) or Mother aspect of God, known by
feminine names :- Matha Annapoorneshwari - Goddess of plenty - 
Mother Durga; Shree Sathya Sayeeshwari; Matha Saraswati - Goddess of 
Learning and knowledge; Matha Mahalakshmi - Goddess of wealth and 
Shree Sai Shaktishwari - Shree Sathya Sai - representating all types of powers.",,,sanskrit / hindi,shivaranjani
Naada Brahmamayee Sayeeshwari ,Devi,"Hey Mother Sai, You are the form of the sound of Brahman (Om).
You are the ocean of compassion, You are Varahi, Vaishnavi, 
Vageeshwari, Mathangi, Mahamayee and Mookambike (all different 
names for Parvathi). Oh Mother Sathya Sai, You are the destroyer of the fear of the cycle of birth and death",advanced,medium,sanskrit / hindi,chandrakauns
Naaga Bhooshani Sai Naaraayani ,Devi,"Worship Mother: Naaraayani - who is decorated with a snake around the
neck; Shambhavi; Shankari; Shivani; Nandini; Durga; Bhavani; 
Bhagavati; Bharati; Brahma Sanatani; Tripura Sundari. Oh Mother ! Thy 
Form is Bliss and Thou art a resident of Himalayan mountain. ",,,sanskrit / hindi,gavati
Namo Shaarada Namo Shaarada Namo Shaarada Maatha ,Devi,"Salutations to the Divine Mother Sarada, Giver of knowledge and
wisdom; The one who holds the veena and the book; The Goddess 
who removes fears of worldly existence from the mind; Divine 
Mother in the form of Sathya Sai Baba who is Mother herself.",advanced,slow,sanskrit / hindi,kalyani / yaman
Om Shakthi Om Shakthi Om Shakthi Om ,Devi,"This bhajan praises Shakthi, the regal power which comprises
the three worlds, the active power of energy of a Deity, especially Shiva. It is in Brahma (creative power), 
in Vishnu (sustaining power), in Shiva (destroying of evils), in Iccha Shakthi (power of Willing and Wishing), 
Adi Shakthi (the beginningless, primeval, causeless power), Para Shakthi (power unlimited, Supreme Power), and 
Maha Shakthi (power of powers).",advanced,,sanskrit / hindi,shivaranjani
Om Shakthi Om Shakthi Om Shakthi Om ,Devi,"This bhajan praises Shakthi, the regal power which comprises
the three worlds, the active power of energy of a Deity, especially Shiva. It is in Brahma (creative power), 
in Vishnu (sustaining power), in Shiva (destroying of evils), in Iccha Shakthi (power of Willing and Wishing), 
Adi Shakthi (the beginningless, primeval, causeless power), Para Shakthi (power unlimited, Supreme Power), and 
Maha Shakthi (power of powers).",simple,fast,sanskrit / hindi,shankarabharanam / bilawal
Sad Guru Sai Saraswathi ,Devi,"Worship the Supreme Teacher, Sai - the auspicious embodiment of
all learning and wisdom, adept in the art of producing sweet 
melodies on veena (Saraswathi), bestower of all knowledge, who has the 
celestial swan as vehicle. Oh Lord Sai, You are the Mother of Vedas.",intermediate,medium,sanskrit / hindi,mishra tilang
Sad Guru Sai Saraswathi ,Devi,"Worship the Supreme Teacher, Sai - the auspicious embodiment of
all learning and wisdom, adept in the art of producing sweet 
melodies on veena (Saraswathi), bestower of all knowledge, who has the 
celestial swan as vehicle. Oh Lord Sai, You are the Mother of Vedas.",,,sanskrit / hindi,
Sad Guru Sai Saraswathi ,Devi,"Worship the Supreme Teacher, Sai - the auspicious embodiment of
all learning and wisdom, adept in the art of producing sweet 
melodies on veena (Saraswathi), bestower of all knowledge, who has the 
celestial swan as vehicle. Oh Lord Sai, You are the Mother of Vedas.",intermediate,medium,sanskrit / hindi,mishra tilang
Sad Guru Sai Saraswathi ,Devi,"Worship the Supreme Teacher, Sai - the auspicious embodiment of
all learning and wisdom, adept in the art of producing sweet 
melodies on veena (Saraswathi), bestower of all knowledge, who has the 
celestial swan as vehicle. Oh Lord Sai, You are the Mother of Vedas.",,,sanskrit / hindi,
Sadaa Shiva Ranjani Sai Janani ,Devi,"Eternal joy of Lord Shiva, wife of Shiva, giver life, mother of all worlds, queen of queens.",intermediate,medium slow,sanskrit / hindi,shivaranjani
